"DATETIME","Value"
"01/01/2010 01:00",5389
"01/01/2010 02:00",5689
"01/01/2010 03:00",5838
"01/01/2010 04:00",5838
"01/01/2010 05:00",5689
"01/01/2010 06:00",5389
"01/01/2010 07:00",5389
"01/01/2010 08:00",5689
"01/01/2010 09:00",5689
"01/01/2010 10:00",5838
"01/01/2010 11:00",5539
"01/01/2010 12:00",5389
"01/01/2010 13:00",4042
"01/01/2010 14:00",4940
"01/01/2010 15:00",5240
"01/01/2010 16:00",5539
"01/01/2010 17:00",5240
"01/01/2010 18:00",4790
"01/01/2010 19:00",5838
"01/01/2010 20:00",4940
"01/01/2010 21:00",5090
"01/01/2010 22:00",5539
"01/01/2010 23:00",5838
"01/01/2010 00:00",5689
"01/02/2010 01:00",5689
"01/02/2010 02:00",5838
"01/02/2010 03:00",5988
"01/02/2010 04:00",5838
"01/02/2010 05:00",5090
"01/02/2010 06:00",5689
"01/02/2010 07:00",4940
"01/02/2010 08:00",5539
"01/02/2010 09:00",5240
"01/02/2010 10:00",4940
"01/02/2010 11:00",5838
"01/02/2010 12:00",5389
"01/02/2010 13:00",5090
"01/02/2010 14:00",5389
"01/02/2010 15:00",5090
"01/02/2010 16:00",5389
"01/02/2010 17:00",4940
"01/02/2010 18:00",5090
"01/02/2010 19:00",4790
"01/02/2010 20:00",4491
"01/02/2010 21:00",4790
"01/02/2010 22:00",5539
"01/02/2010 23:00",5090
"01/02/2010 00:00",4790
"01/03/2010 01:00",5838
"01/03/2010 02:00",2545
"01/03/2010 03:00",749
"01/03/2010 04:00",0
"01/03/2010 05:00",0
"01/03/2010 06:00",0
"01/03/2010 07:00",0
"01/03/2010 08:00",0
"01/03/2010 09:00",1796
"01/03/2010 10:00",5090
"01/03/2010 11:00",5090
"01/03/2010 12:00",5090
"01/03/2010 13:00",4940
"01/03/2010 14:00",4940
"01/03/2010 15:00",4790
"01/03/2010 16:00",5389
"01/03/2010 17:00",5838
"01/03/2010 18:00",5689
"01/03/2010 19:00",5988
"01/03/2010 20:00",5689
"01/03/2010 21:00",4790
"01/03/2010 22:00",4641
"01/03/2010 23:00",5838
"01/03/2010 00:00",5988
"01/04/2010 01:00",4641
"01/04/2010 02:00",5090
"01/04/2010 03:00",4940
"01/04/2010 04:00",5090
"01/04/2010 05:00",4790
"01/04/2010 06:00",5988
"01/04/2010 07:00",4790
"01/04/2010 08:00",5090
"01/04/2010 09:00",5389
"01/04/2010 10:00",4940
"01/04/2010 11:00",4641
"01/04/2010 12:00",5240
"01/04/2010 13:00",4790
"01/04/2010 14:00",4940
"01/04/2010 15:00",5539
"01/04/2010 16:00",5689
"01/04/2010 17:00",5838
"01/04/2010 18:00",5838
"01/04/2010 19:00",5689
"01/04/2010 20:00",5389
"01/04/2010 21:00",5689
"01/04/2010 22:00",5539
"01/04/2010 23:00",5240
"01/04/2010 00:00",5988
"01/05/2010 01:00",5539
"01/05/2010 02:00",5539
"01/05/2010 03:00",5838
"01/05/2010 04:00",5838
"01/05/2010 05:00",5838
"01/05/2010 06:00",5838
"01/05/2010 07:00",5838
"01/05/2010 08:00",5539
"01/05/2010 09:00",5838
"01/05/2010 10:00",5838
"01/05/2010 11:00",5539
"01/05/2010 12:00",5689
"01/05/2010 13:00",5539
"01/05/2010 14:00",5838
"01/05/2010 15:00",5389
"01/05/2010 16:00",5988
"01/05/2010 17:00",5988
"01/05/2010 18:00",5988
"01/05/2010 19:00",5689
"01/05/2010 20:00",5689
"01/05/2010 21:00",5689
"01/05/2010 22:00",5838
"01/05/2010 23:00",4940
"01/05/2010 00:00",4641
"01/06/2010 01:00",5240
"01/06/2010 02:00",5240
"01/06/2010 03:00",5240
"01/06/2010 04:00",5240
"01/06/2010 05:00",5539
"01/06/2010 06:00",5240
"01/06/2010 07:00",5090
"01/06/2010 08:00",5539
"01/06/2010 09:00",5689
"01/06/2010 10:00",5838
"01/06/2010 11:00",5838
"01/06/2010 12:00",5539
"01/06/2010 13:00",5539
"01/06/2010 14:00",5838
"01/06/2010 15:00",5838
"01/06/2010 16:00",5838
"01/06/2010 17:00",5838
"01/06/2010 18:00",5240
"01/06/2010 19:00",5389
"01/06/2010 20:00",4940
"01/06/2010 21:00",4790
"01/06/2010 22:00",5539
"01/06/2010 23:00",4940
"01/06/2010 00:00",4790
"01/07/2010 01:00",5240
"01/07/2010 02:00",5389
"01/07/2010 03:00",5389
"01/07/2010 04:00",5389
"01/07/2010 05:00",5689
"01/07/2010 06:00",5539
"01/07/2010 07:00",5539
"01/07/2010 08:00",5539
"01/07/2010 09:00",5389
"01/07/2010 10:00",5988
"01/07/2010 11:00",5539
"01/07/2010 12:00",5689
"01/07/2010 13:00",5689
"01/07/2010 14:00",5988
"01/07/2010 15:00",5689
"01/07/2010 16:00",5988
"01/07/2010 17:00",5689
"01/07/2010 18:00",5539
"01/07/2010 19:00",5389
"01/07/2010 20:00",5689
"01/07/2010 21:00",5090
"01/07/2010 22:00",5090
"01/07/2010 23:00",5090
"01/07/2010 00:00",5090
"01/08/2010 01:00",5389
"01/08/2010 02:00",5689
"01/08/2010 03:00",5838
"01/08/2010 04:00",5838
"01/08/2010 05:00",5689
"01/08/2010 06:00",5389
"01/08/2010 07:00",5389
"01/08/2010 08:00",5689
"01/08/2010 09:00",5689
"01/08/2010 10:00",5838
"01/08/2010 11:00",5539
"01/08/2010 12:00",5389
"01/08/2010 13:00",4042
"01/08/2010 14:00",4940
"01/08/2010 15:00",5240
"01/08/2010 16:00",5539
"01/08/2010 17:00",5240
"01/08/2010 18:00",4790
"01/08/2010 19:00",5838
"01/08/2010 20:00",4940
"01/08/2010 21:00",5090
"01/08/2010 22:00",5539
"01/08/2010 23:00",5838
"01/08/2010 00:00",5689
"01/09/2010 01:00",5689
"01/09/2010 02:00",5838
"01/09/2010 03:00",5988
"01/09/2010 04:00",5838
"01/09/2010 05:00",5090
"01/09/2010 06:00",5689
"01/09/2010 07:00",4940
"01/09/2010 08:00",5539
"01/09/2010 09:00",5240
"01/09/2010 10:00",4940
"01/09/2010 11:00",5838
"01/09/2010 12:00",5389
"01/09/2010 13:00",5090
"01/09/2010 14:00",5389
"01/09/2010 15:00",5090
"01/09/2010 16:00",5389
"01/09/2010 17:00",4940
"01/09/2010 18:00",5090
"01/09/2010 19:00",4790
"01/09/2010 20:00",4491
"01/09/2010 21:00",4790
"01/09/2010 22:00",5539
"01/09/2010 23:00",5090
"01/09/2010 00:00",4790
"01/10/2010 01:00",5838
"01/10/2010 02:00",2545
"01/10/2010 03:00",749
"01/10/2010 04:00",0
"01/10/2010 05:00",0
"01/10/2010 06:00",0
"01/10/2010 07:00",0
"01/10/2010 08:00",0
"01/10/2010 09:00",1796
"01/10/2010 10:00",5090
"01/10/2010 11:00",5090
"01/10/2010 12:00",5090
"01/10/2010 13:00",4940
"01/10/2010 14:00",4940
"01/10/2010 15:00",4790
"01/10/2010 16:00",5389
"01/10/2010 17:00",5838
"01/10/2010 18:00",5689
"01/10/2010 19:00",5988
"01/10/2010 20:00",5689
