"DATETIME","Value"
"01/01/2010 01:00",0
"01/01/2010 02:00",0
"01/01/2010 03:00",0
"01/01/2010 04:00",0
"01/01/2010 05:00",0
"01/01/2010 06:00",0
"01/01/2010 07:00",3469
"01/01/2010 08:00",3129
"01/01/2010 09:00",3333
"01/01/2010 10:00",3197
"01/01/2010 11:00",2993
"01/01/2010 12:00",3061
"01/01/2010 13:00",0
"01/01/2010 14:00",0
"01/01/2010 15:00",0
"01/01/2010 16:00",0
"01/01/2010 17:00",4150
"01/01/2010 18:00",4830
"01/01/2010 19:00",4558
"01/01/2010 20:00",4694
"01/01/2010 21:00",4830
"01/01/2010 22:00",4694
"01/01/2010 23:00",1497
"01/01/2010 00:00",0
"01/02/2010 01:00",0
"01/02/2010 02:00",0
"01/02/2010 03:00",0
"01/02/2010 04:00",0
"01/02/2010 05:00",0
"01/02/2010 06:00",0
"01/02/2010 07:00",3605
"01/02/2010 08:00",3197
"01/02/2010 09:00",3197
"01/02/2010 10:00",3129
"01/02/2010 11:00",1361
"01/02/2010 12:00",0
"01/02/2010 13:00",0
"01/02/2010 14:00",0
"01/02/2010 15:00",0
"01/02/2010 16:00",0
"01/02/2010 17:00",3197
"01/02/2010 18:00",3061
"01/02/2010 19:00",3061
"01/02/2010 20:00",3061
"01/02/2010 21:00",3061
"01/02/2010 22:00",3061
"01/02/2010 23:00",0
"01/02/2010 00:00",0
"01/03/2010 01:00",0
"01/03/2010 02:00",0
"01/03/2010 03:00",0
"01/03/2010 04:00",0
"01/03/2010 05:00",0
"01/03/2010 06:00",0
"01/03/2010 07:00",3469
"01/03/2010 08:00",3265
"01/03/2010 09:00",3061
"01/03/2010 10:00",3129
"01/03/2010 11:00",0
"01/03/2010 12:00",0
"01/03/2010 13:00",0
"01/03/2010 14:00",0
"01/03/2010 15:00",0
"01/03/2010 16:00",0
"01/03/2010 17:00",2857
"01/03/2010 18:00",3129
"01/03/2010 19:00",3129
"01/03/2010 20:00",3129
"01/03/2010 21:00",3129
"01/03/2010 22:00",3129
"01/03/2010 23:00",0
"01/03/2010 00:00",0
"01/04/2010 01:00",0
"01/04/2010 02:00",0
"01/04/2010 03:00",0
"01/04/2010 04:00",0
"01/04/2010 05:00",0
"01/04/2010 06:00",0
"01/04/2010 07:00",3333
"01/04/2010 08:00",3129
"01/04/2010 09:00",3129
"01/04/2010 10:00",3129
"01/04/2010 11:00",0
"01/04/2010 12:00",0
"01/04/2010 13:00",0
"01/04/2010 14:00",0
"01/04/2010 15:00",0
"01/04/2010 16:00",0
"01/04/2010 17:00",0
"01/04/2010 18:00",0
"01/04/2010 19:00",3129
"01/04/2010 20:00",3129
"01/04/2010 21:00",3129
"01/04/2010 22:00",3129
"01/04/2010 23:00",1565
"01/04/2010 00:00",1769
"01/05/2010 01:00",0
"01/05/2010 02:00",0
"01/05/2010 03:00",0
"01/05/2010 04:00",0
"01/05/2010 05:00",0
"01/05/2010 06:00",0
"01/05/2010 07:00",3333
"01/05/2010 08:00",3333
"01/05/2010 09:00",1565
"01/05/2010 10:00",0
"01/05/2010 11:00",0
"01/05/2010 12:00",0
"01/05/2010 13:00",0
"01/05/2010 14:00",0
"01/05/2010 15:00",0
"01/05/2010 16:00",0
"01/05/2010 17:00",0
"01/05/2010 18:00",0
"01/05/2010 19:00",1905
"01/05/2010 20:00",2857
"01/05/2010 21:00",2857
"01/05/2010 22:00",2041
"01/05/2010 23:00",0
"01/05/2010 00:00",0
"01/06/2010 01:00",0
"01/06/2010 02:00",0
"01/06/2010 03:00",0
"01/06/2010 04:00",0
"01/06/2010 05:00",0
"01/06/2010 06:00",0
"01/06/2010 07:00",0
"01/06/2010 08:00",0
"01/06/2010 09:00",3265
"01/06/2010 10:00",3333
"01/06/2010 11:00",3333
"01/06/2010 12:00",3469
"01/06/2010 13:00",3469
"01/06/2010 14:00",3537
"01/06/2010 15:00",3469
"01/06/2010 16:00",3401
"01/06/2010 17:00",5102
"01/06/2010 18:00",5034
"01/06/2010 19:00",4626
"01/06/2010 20:00",4694
"01/06/2010 21:00",4830
"01/06/2010 22:00",4626
"01/06/2010 23:00",0
"01/06/2010 00:00",0
"01/07/2010 01:00",0
"01/07/2010 02:00",0
"01/07/2010 03:00",0
"01/07/2010 04:00",0
"01/07/2010 05:00",0
"01/07/2010 06:00",0
"01/07/2010 07:00",0
"01/07/2010 08:00",0
"01/07/2010 09:00",3469
"01/07/2010 10:00",3265
"01/07/2010 11:00",3469
"01/07/2010 12:00",3129
"01/07/2010 13:00",3265
"01/07/2010 14:00",3401
"01/07/2010 15:00",3129
