"DATETIME","Value"
"01/01/2010 01:00",322
"01/01/2010 02:00",322
"01/01/2010 03:00",320
"01/01/2010 04:00",320
"01/01/2010 05:00",320
"01/01/2010 06:00",320
"01/01/2010 07:00",320
"01/01/2010 08:00",320
"01/01/2010 09:00",320
"01/01/2010 10:00",320
"01/01/2010 11:00",320
"01/01/2010 12:00",205
"01/01/2010 13:00",205
"01/01/2010 14:00",202
"01/01/2010 15:00",205
"01/01/2010 16:00",205
"01/01/2010 17:00",205
"01/01/2010 18:00",205
"01/01/2010 19:00",205
"01/01/2010 20:00",205
"01/01/2010 21:00",205
"01/01/2010 22:00",205
"01/01/2010 23:00",339
"01/01/2010 00:00",339
"01/02/2010 01:00",339
"01/02/2010 02:00",339
"01/02/2010 03:00",339
"01/02/2010 04:00",339
"01/02/2010 05:00",339
"01/02/2010 06:00",339
"01/02/2010 07:00",336
"01/02/2010 08:00",336
"01/02/2010 09:00",212
"01/02/2010 10:00",212
"01/02/2010 11:00",212
"01/02/2010 12:00",202
"01/02/2010 13:00",202
"01/02/2010 14:00",202
"01/02/2010 15:00",202
"01/02/2010 16:00",202
"01/02/2010 17:00",202
"01/02/2010 18:00",202
"01/02/2010 19:00",202
"01/02/2010 20:00",202
"01/02/2010 21:00",202
"01/02/2010 22:00",339
"01/02/2010 23:00",346
"01/02/2010 00:00",346
"01/03/2010 01:00",223
"01/03/2010 02:00",223
"01/03/2010 03:00",223
"01/03/2010 04:00",223
"01/03/2010 05:00",223
"01/03/2010 06:00",223
"01/03/2010 07:00",223
"01/03/2010 08:00",223
"01/03/2010 09:00",223
"01/03/2010 10:00",223
"01/03/2010 11:00",223
"01/03/2010 12:00",212
"01/03/2010 13:00",212
"01/03/2010 14:00",212
"01/03/2010 15:00",212
"01/03/2010 16:00",212
"01/03/2010 17:00",212
"01/03/2010 18:00",212
"01/03/2010 19:00",212
"01/03/2010 20:00",212
"01/03/2010 21:00",212
"01/03/2010 22:00",212
"01/03/2010 23:00",212
"01/03/2010 00:00",212
"01/04/2010 01:00",212
"01/04/2010 02:00",212
"01/04/2010 03:00",212
"01/04/2010 04:00",212
"01/04/2010 05:00",212
"01/04/2010 06:00",212
"01/04/2010 07:00",212
"01/04/2010 08:00",212
"01/04/2010 09:00",212
"01/04/2010 10:00",212
"01/04/2010 11:00",212
"01/04/2010 12:00",266
"01/04/2010 13:00",266
"01/04/2010 14:00",266
"01/04/2010 15:00",266
"01/04/2010 16:00",266
"01/04/2010 17:00",266
"01/04/2010 18:00",266
"01/04/2010 19:00",266
"01/04/2010 20:00",266
"01/04/2010 21:00",202
"01/04/2010 22:00",324
"01/04/2010 23:00",202
"01/04/2010 00:00",207
"01/05/2010 01:00",341
"01/05/2010 02:00",218
"01/05/2010 03:00",214
"01/05/2010 04:00",214
"01/05/2010 05:00",214
"01/05/2010 06:00",214
"01/05/2010 07:00",214
"01/05/2010 08:00",214
"01/05/2010 09:00",214
"01/05/2010 10:00",214
"01/05/2010 11:00",345
"01/05/2010 12:00",198
"01/05/2010 13:00",198
"01/05/2010 14:00",198
"01/05/2010 15:00",339
"01/05/2010 16:00",343
"01/05/2010 17:00",219
"01/05/2010 18:00",399
"01/05/2010 19:00",275
"01/05/2010 20:00",400
"01/05/2010 21:00",400
"01/05/2010 22:00",400
"01/05/2010 23:00",399
"01/05/2010 00:00",456
"01/06/2010 01:00",306
"01/06/2010 02:00",338
"01/06/2010 03:00",338
"01/06/2010 04:00",338
"01/06/2010 05:00",338
"01/06/2010 06:00",338
"01/06/2010 07:00",338
"01/06/2010 08:00",338
"01/06/2010 09:00",338
"01/06/2010 10:00",432
"01/06/2010 11:00",428
"01/06/2010 12:00",301
"01/06/2010 13:00",214
"01/06/2010 14:00",214
"01/06/2010 15:00",214
"01/06/2010 16:00",214
"01/06/2010 17:00",1946
"01/06/2010 18:00",3245
"01/06/2010 19:00",3785
"01/06/2010 20:00",3778
"01/06/2010 21:00",3782
"01/06/2010 22:00",2060
"01/06/2010 23:00",684
"01/06/2010 00:00",247
"01/07/2010 01:00",247
"01/07/2010 02:00",247
"01/07/2010 03:00",247
"01/07/2010 04:00",247
"01/07/2010 05:00",461
"01/07/2010 06:00",456
"01/07/2010 07:00",209
"01/07/2010 08:00",209
"01/07/2010 09:00",209
"01/07/2010 10:00",209
"01/07/2010 11:00",209
"01/07/2010 12:00",209
"01/07/2010 13:00",334
"01/07/2010 14:00",334
"01/07/2010 15:00",211
"01/07/2010 16:00",362
"01/07/2010 17:00",315
"01/07/2010 18:00",315
"01/07/2010 19:00",322
"01/07/2010 20:00",322
"01/07/2010 21:00",322
"01/07/2010 22:00",322
"01/07/2010 23:00",322
"01/07/2010 00:00",322
"01/08/2010 01:00",322
"01/08/2010 02:00",322
"01/08/2010 03:00",320
"01/08/2010 04:00",320
"01/08/2010 05:00",320
"01/08/2010 06:00",320
"01/08/2010 07:00",320
"01/08/2010 08:00",320
"01/08/2010 09:00",320
"01/08/2010 10:00",320
"01/08/2010 11:00",320
"01/08/2010 12:00",205
"01/08/2010 13:00",205
"01/08/2010 14:00",202
"01/08/2010 15:00",205
"01/08/2010 16:00",205
"01/08/2010 17:00",205
"01/08/2010 18:00",205
"01/08/2010 19:00",205
"01/08/2010 20:00",205
"01/08/2010 21:00",205
"01/08/2010 22:00",205
"01/08/2010 23:00",339
"01/08/2010 00:00",339
"01/09/2010 01:00",339
"01/09/2010 02:00",339
"01/09/2010 03:00",339
"01/09/2010 04:00",339
"01/09/2010 05:00",339
"01/09/2010 06:00",339
