"DATETIME","Value"
"01/01/2010 01:00",969
"01/01/2010 02:00",969
"01/01/2010 03:00",969
"01/01/2010 04:00",969
"01/01/2010 05:00",775
"01/01/2010 06:00",775
"01/01/2010 07:00",969
"01/01/2010 08:00",969
"01/01/2010 09:00",581
"01/01/2010 10:00",388
"01/01/2010 11:00",969
"01/01/2010 12:00",969
"01/01/2010 13:00",969
"01/01/2010 14:00",969
"01/01/2010 15:00",969
"01/01/2010 16:00",1163
"01/01/2010 17:00",969
"01/01/2010 18:00",969
"01/01/2010 19:00",1163
"01/01/2010 20:00",969
"01/01/2010 21:00",969
"01/01/2010 22:00",969
"01/01/2010 23:00",1163
"01/01/2010 00:00",969
"01/02/2010 01:00",1163
"01/02/2010 02:00",969
"01/02/2010 03:00",969
"01/02/2010 04:00",969
"01/02/2010 05:00",969
"01/02/2010 06:00",1163
"01/02/2010 07:00",969
"01/02/2010 08:00",969
"01/02/2010 09:00",969
"01/02/2010 10:00",969
"01/02/2010 11:00",775
"01/02/2010 12:00",388
"01/02/2010 13:00",969
"01/02/2010 14:00",969
"01/02/2010 15:00",969
"01/02/2010 16:00",969
"01/02/2010 17:00",969
"01/02/2010 18:00",969
"01/02/2010 19:00",969
"01/02/2010 20:00",1163
"01/02/2010 21:00",969
"01/02/2010 22:00",1163
"01/02/2010 23:00",969
"01/02/2010 00:00",969
"01/03/2010 01:00",1163
"01/03/2010 02:00",969
"01/03/2010 03:00",1163
"01/03/2010 04:00",969
"01/03/2010 05:00",1163
"01/03/2010 06:00",969
"01/03/2010 07:00",1163
"01/03/2010 08:00",969
"01/03/2010 09:00",969
"01/03/2010 10:00",1163
"01/03/2010 11:00",969
"01/03/2010 12:00",1163
"01/03/2010 13:00",969
"01/03/2010 14:00",969
"01/03/2010 15:00",1163
"01/03/2010 16:00",969
"01/03/2010 17:00",1163
"01/03/2010 18:00",969
"01/03/2010 19:00",1163
"01/03/2010 20:00",1163
"01/03/2010 21:00",969
"01/03/2010 22:00",1163
"01/03/2010 23:00",1163
"01/03/2010 00:00",969
"01/04/2010 01:00",1163
"01/04/2010 02:00",1357
"01/04/2010 03:00",1163
"01/04/2010 04:00",1163
"01/04/2010 05:00",2326
"01/04/2010 06:00",1163
"01/04/2010 07:00",969
"01/04/2010 08:00",969
"01/04/2010 09:00",969
"01/04/2010 10:00",969
"01/04/2010 11:00",969
"01/04/2010 12:00",969
"01/04/2010 13:00",969
"01/04/2010 14:00",969
"01/04/2010 15:00",775
"01/04/2010 16:00",969
"01/04/2010 17:00",775
"01/04/2010 18:00",775
"01/04/2010 19:00",969
"01/04/2010 20:00",969
"01/04/2010 21:00",775
"01/04/2010 22:00",969
"01/04/2010 23:00",969
"01/04/2010 00:00",775
"01/05/2010 01:00",969
"01/05/2010 02:00",969
"01/05/2010 03:00",969
"01/05/2010 04:00",969
"01/05/2010 05:00",775
"01/05/2010 06:00",969
"01/05/2010 07:00",969
"01/05/2010 08:00",969
"01/05/2010 09:00",775
"01/05/2010 10:00",969
"01/05/2010 11:00",969
"01/05/2010 12:00",969
"01/05/2010 13:00",969
"01/05/2010 14:00",969
"01/05/2010 15:00",775
"01/05/2010 16:00",969
"01/05/2010 17:00",969
"01/05/2010 18:00",969
"01/05/2010 19:00",969
"01/05/2010 20:00",969
"01/05/2010 21:00",969
"01/05/2010 22:00",775
"01/05/2010 23:00",969
"01/05/2010 00:00",969
"01/06/2010 01:00",969
"01/06/2010 02:00",969
"01/06/2010 03:00",969
"01/06/2010 04:00",969
"01/06/2010 05:00",969
"01/06/2010 06:00",969
"01/06/2010 07:00",969
"01/06/2010 08:00",969
"01/06/2010 09:00",969
"01/06/2010 10:00",969
"01/06/2010 11:00",969
"01/06/2010 12:00",969
"01/06/2010 13:00",969
"01/06/2010 14:00",775
"01/06/2010 15:00",969
"01/06/2010 16:00",969
"01/06/2010 17:00",969
"01/06/2010 18:00",969
"01/06/2010 19:00",969
"01/06/2010 20:00",969
"01/06/2010 21:00",969
"01/06/2010 22:00",969
"01/06/2010 23:00",969
"01/06/2010 00:00",969
"01/07/2010 01:00",969
"01/07/2010 02:00",969
"01/07/2010 03:00",969
"01/07/2010 04:00",969
"01/07/2010 05:00",969
"01/07/2010 06:00",969
"01/07/2010 07:00",969
"01/07/2010 08:00",969
"01/07/2010 09:00",775
"01/07/2010 10:00",969
"01/07/2010 11:00",969
"01/07/2010 12:00",969
"01/07/2010 13:00",969
"01/07/2010 14:00",969
"01/07/2010 15:00",969
"01/07/2010 16:00",969
"01/07/2010 17:00",969
"01/07/2010 18:00",969
"01/07/2010 19:00",969
"01/07/2010 20:00",775
"01/07/2010 21:00",969
"01/07/2010 22:00",969
"01/07/2010 23:00",969
"01/07/2010 00:00",969
"01/08/2010 01:00",969
"01/08/2010 02:00",969
"01/08/2010 03:00",969
"01/08/2010 04:00",969
"01/08/2010 05:00",775
"01/08/2010 06:00",775
"01/08/2010 07:00",969
"01/08/2010 08:00",969
"01/08/2010 09:00",581
"01/08/2010 10:00",388
"01/08/2010 11:00",969
"01/08/2010 12:00",969
"01/08/2010 13:00",969
"01/08/2010 14:00",969
"01/08/2010 15:00",969
"01/08/2010 16:00",1163
"01/08/2010 17:00",969
"01/08/2010 18:00",969
"01/08/2010 19:00",1163
"01/08/2010 20:00",969
"01/08/2010 21:00",969
"01/08/2010 22:00",969
"01/08/2010 23:00",1163
"01/08/2010 00:00",969
"01/09/2010 01:00",1163
"01/09/2010 02:00",969
"01/09/2010 03:00",969
"01/09/2010 04:00",969
"01/09/2010 05:00",969
"01/09/2010 06:00",1163
"01/09/2010 07:00",969
"01/09/2010 08:00",969
"01/09/2010 09:00",969
"01/09/2010 10:00",969
"01/09/2010 11:00",775
"01/09/2010 12:00",388
"01/09/2010 13:00",969
"01/09/2010 14:00",969
"01/09/2010 15:00",969
"01/09/2010 16:00",969
"01/09/2010 17:00",969
"01/09/2010 18:00",969
"01/09/2010 19:00",969
"01/09/2010 20:00",1163
"01/09/2010 21:00",969
"01/09/2010 22:00",1163
"01/09/2010 23:00",969
"01/09/2010 00:00",969
"01/10/2010 01:00",1163
"01/10/2010 02:00",969
"01/10/2010 03:00",1163
"01/10/2010 04:00",969
"01/10/2010 05:00",1163
"01/10/2010 06:00",969
"01/10/2010 07:00",1163
"01/10/2010 08:00",969
"01/10/2010 09:00",969
"01/10/2010 10:00",1163
"01/10/2010 11:00",969
"01/10/2010 12:00",1163
"01/10/2010 13:00",969
"01/10/2010 14:00",969
"01/10/2010 15:00",1163
"01/10/2010 16:00",969
"01/10/2010 17:00",1163
"01/10/2010 18:00",969
"01/10/2010 19:00",1163
"01/10/2010 20:00",1163
"01/10/2010 21:00",969
"01/10/2010 22:00",1163
"01/10/2010 23:00",1163
"01/10/2010 00:00",969
"01/11/2010 01:00",1163
"01/11/2010 02:00",1357
"01/11/2010 03:00",1163
"01/11/2010 04:00",1163
"01/11/2010 05:00",2326
"01/11/2010 06:00",1163
"01/11/2010 07:00",969
"01/11/2010 08:00",969
"01/11/2010 09:00",969
"01/11/2010 10:00",969
"01/11/2010 11:00",969
"01/11/2010 12:00",969
"01/11/2010 13:00",969
"01/11/2010 14:00",969
"01/11/2010 15:00",775
"01/11/2010 16:00",969
"01/11/2010 17:00",775
"01/11/2010 18:00",775
"01/11/2010 19:00",969
"01/11/2010 20:00",969
"01/11/2010 21:00",775
"01/11/2010 22:00",969
"01/11/2010 23:00",969
"01/11/2010 00:00",775
"01/12/2010 01:00",969
"01/12/2010 02:00",969
"01/12/2010 03:00",969
"01/12/2010 04:00",969
"01/12/2010 05:00",775
"01/12/2010 06:00",969
"01/12/2010 07:00",969
"01/12/2010 08:00",969
"01/12/2010 09:00",775
"01/12/2010 10:00",969
"01/12/2010 11:00",969
"01/12/2010 12:00",969
"01/12/2010 13:00",969
"01/12/2010 14:00",969
"01/12/2010 15:00",775
"01/12/2010 16:00",969
"01/12/2010 17:00",969
"01/12/2010 18:00",969
"01/12/2010 19:00",969
"01/12/2010 20:00",969
"01/12/2010 21:00",969
"01/12/2010 22:00",775
"01/12/2010 23:00",969
"01/12/2010 00:00",969
"01/13/2010 01:00",969
"01/13/2010 02:00",969
"01/13/2010 03:00",969
"01/13/2010 04:00",969
"01/13/2010 05:00",969
"01/13/2010 06:00",969
"01/13/2010 07:00",969
"01/13/2010 08:00",969
"01/13/2010 09:00",969
"01/13/2010 10:00",775
"01/13/2010 11:00",969
"01/13/2010 12:00",775
"01/13/2010 13:00",969
"01/13/2010 14:00",969
"01/13/2010 15:00",969
"01/13/2010 16:00",775
"01/13/2010 17:00",969
"01/13/2010 18:00",969
"01/13/2010 19:00",969
"01/13/2010 20:00",969
"01/13/2010 21:00",969
"01/13/2010 22:00",969
"01/13/2010 23:00",969
"01/13/2010 00:00",969
"01/14/2010 01:00",969
"01/14/2010 02:00",969
"01/14/2010 03:00",969
"01/14/2010 04:00",1163
"01/14/2010 05:00",969
"01/14/2010 06:00",969
"01/14/2010 07:00",969
"01/14/2010 08:00",969
"01/14/2010 09:00",969
