"DATETIME","Value"
"01/01/2010 01:00",4
"01/01/2010 02:00",4
"01/01/2010 03:00",4
"01/01/2010 04:00",4
"01/01/2010 05:00",4
"01/01/2010 06:00",4
"01/01/2010 07:00",4
"01/01/2010 08:00",4
"01/01/2010 09:00",4
"01/01/2010 10:00",4
"01/01/2010 11:00",4
"01/01/2010 12:00",4
"01/01/2010 13:00",259
"01/01/2010 14:00",3799
"01/01/2010 15:00",2827
"01/01/2010 16:00",2946
"01/01/2010 17:00",2229
"01/01/2010 18:00",2624
"01/01/2010 19:00",3716
"01/01/2010 20:00",3791
"01/01/2010 21:00",3090
"01/01/2010 22:00",2298
"01/01/2010 23:00",1608
"01/01/2010 00:00",4
"01/02/2010 01:00",4
"01/02/2010 02:00",4
"01/02/2010 03:00",4
"01/02/2010 04:00",4
"01/02/2010 05:00",4
"01/02/2010 06:00",4
"01/02/2010 07:00",4
"01/02/2010 08:00",4
"01/02/2010 09:00",4
"01/02/2010 10:00",155
"01/02/2010 11:00",2895
"01/02/2010 12:00",4095
"01/02/2010 13:00",3951
"01/02/2010 14:00",3087
"01/02/2010 15:00",2896
"01/02/2010 16:00",2979
"01/02/2010 17:00",7083
"01/02/2010 18:00",7120
"01/02/2010 19:00",7121
"01/02/2010 20:00",7937
"01/02/2010 21:00",7569
"01/02/2010 22:00",6316
"01/02/2010 23:00",157
"01/02/2010 00:00",7
"01/03/2010 01:00",7
"01/03/2010 02:00",7
"01/03/2010 03:00",7
"01/03/2010 04:00",7
"01/03/2010 05:00",7
"01/03/2010 06:00",7
"01/03/2010 07:00",7
"01/03/2010 08:00",7
"01/03/2010 09:00",7
"01/03/2010 10:00",7
"01/03/2010 11:00",7
"01/03/2010 12:00",7
"01/03/2010 13:00",7
"01/03/2010 14:00",7
"01/03/2010 15:00",7
"01/03/2010 16:00",7
"01/03/2010 17:00",7
"01/03/2010 18:00",7
"01/03/2010 19:00",7
"01/03/2010 20:00",7
"01/03/2010 21:00",7
"01/03/2010 22:00",7
"01/03/2010 23:00",7
"01/03/2010 00:00",7
