"DATETIME","Value"
"01/01/2010 01:00",8425
"01/01/2010 02:00",8421
"01/01/2010 03:00",8416
"01/01/2010 04:00",8411
"01/01/2010 05:00",8406
"01/01/2010 06:00",8401
"01/01/2010 07:00",8396
"01/01/2010 08:00",8391
"01/01/2010 09:00",8386
"01/01/2010 10:00",8381
"01/01/2010 11:00",8377
"01/01/2010 12:00",8372
"01/01/2010 13:00",8367
"01/01/2010 14:00",8362
"01/01/2010 15:00",8357
"01/01/2010 16:00",8352
"01/01/2010 17:00",8347
"01/01/2010 18:00",8342
"01/01/2010 19:00",8337
"01/01/2010 20:00",8333
"01/01/2010 21:00",8328
"01/01/2010 22:00",8323
"01/01/2010 23:00",8318
"01/01/2010 00:00",8313
"01/02/2010 01:00",8308
"01/02/2010 02:00",8303
"01/02/2010 03:00",8298
"01/02/2010 04:00",8293
"01/02/2010 05:00",8289
"01/02/2010 06:00",8284
"01/02/2010 07:00",8279
"01/02/2010 08:00",8274
"01/02/2010 09:00",8269
"01/02/2010 10:00",8264
"01/02/2010 11:00",8259
"01/02/2010 12:00",8254
"01/02/2010 13:00",8249
"01/02/2010 14:00",8245
"01/02/2010 15:00",8240
"01/02/2010 16:00",8235
"01/02/2010 17:00",8230
"01/02/2010 18:00",8225
"01/02/2010 19:00",8220
"01/02/2010 20:00",8215
"01/02/2010 21:00",8210
"01/02/2010 22:00",8205
"01/02/2010 23:00",8201
"01/02/2010 00:00",8196
"01/03/2010 01:00",8191
"01/03/2010 02:00",8186
"01/03/2010 03:00",8181
"01/03/2010 04:00",8176
"01/03/2010 05:00",8171
"01/03/2010 06:00",8166
"01/03/2010 07:00",8161
"01/03/2010 08:00",8157
"01/03/2010 09:00",8152
"01/03/2010 10:00",8147
"01/03/2010 11:00",8142
"01/03/2010 12:00",8137
"01/03/2010 13:00",8132
"01/03/2010 14:00",8127
"01/03/2010 15:00",8122
"01/03/2010 16:00",8117
"01/03/2010 17:00",8113
"01/03/2010 18:00",8108
"01/03/2010 19:00",8103
"01/03/2010 20:00",8098
"01/03/2010 21:00",8093
"01/03/2010 22:00",8088
"01/03/2010 23:00",8083
"01/03/2010 00:00",8078
"01/04/2010 01:00",8073
"01/04/2010 02:00",8069
"01/04/2010 03:00",8064
"01/04/2010 04:00",8059
"01/04/2010 05:00",8054
"01/04/2010 06:00",8049
"01/04/2010 07:00",8044
"01/04/2010 08:00",8039
"01/04/2010 09:00",8034
"01/04/2010 10:00",8029
"01/04/2010 11:00",8025
"01/04/2010 12:00",8020
"01/04/2010 13:00",8015
"01/04/2010 14:00",8010
"01/04/2010 15:00",8005
"01/04/2010 16:00",8000
"01/04/2010 17:00",7995
"01/04/2010 18:00",7969
"01/04/2010 19:00",7985
"01/04/2010 20:00",7987
"01/04/2010 21:00",7985
"01/04/2010 22:00",7980
"01/04/2010 23:00",7981
"01/04/2010 00:00",7975
"01/05/2010 01:00",7985
"01/05/2010 02:00",7989
"01/05/2010 03:00",7987
"01/05/2010 04:00",7973
"01/05/2010 05:00",7970
"01/05/2010 06:00",7973
"01/05/2010 07:00",7976
"01/05/2010 08:00",7991
"01/05/2010 09:00",7992
"01/05/2010 10:00",8012
"01/05/2010 11:00",8034
"01/05/2010 12:00",8058
"01/05/2010 13:00",8087
"01/05/2010 14:00",8121
"01/05/2010 15:00",8143
"01/05/2010 16:00",8187
"01/05/2010 17:00",8201
"01/05/2010 18:00",8207
"01/05/2010 19:00",8228
"01/05/2010 20:00",8264
"01/05/2010 21:00",8268
"01/05/2010 22:00",8282
"01/05/2010 23:00",8298
"01/05/2010 00:00",8320
"01/06/2010 01:00",8660
"01/06/2010 02:00",8655
"01/06/2010 03:00",8650
"01/06/2010 04:00",8645
"01/06/2010 05:00",8640
"01/06/2010 06:00",8636
"01/06/2010 07:00",8631
"01/06/2010 08:00",8626
"01/06/2010 09:00",8621
"01/06/2010 10:00",8616
"01/06/2010 11:00",8611
"01/06/2010 12:00",8606
"01/06/2010 13:00",8601
"01/06/2010 14:00",8596
"01/06/2010 15:00",8592
"01/06/2010 16:00",8587
"01/06/2010 17:00",8582
"01/06/2010 18:00",8577
"01/06/2010 19:00",8572
"01/06/2010 20:00",8567
"01/06/2010 21:00",8562
"01/06/2010 22:00",8557
"01/06/2010 23:00",8553
"01/06/2010 00:00",8548
"01/07/2010 01:00",8543
"01/07/2010 02:00",8538
"01/07/2010 03:00",8533
"01/07/2010 04:00",8528
"01/07/2010 05:00",8523
"01/07/2010 06:00",8518
"01/07/2010 07:00",8513
"01/07/2010 08:00",8509
"01/07/2010 09:00",8504
"01/07/2010 10:00",8499
"01/07/2010 11:00",8494
"01/07/2010 12:00",8489
"01/07/2010 13:00",8484
"01/07/2010 14:00",8479
"01/07/2010 15:00",8474
"01/07/2010 16:00",8469
"01/07/2010 17:00",8465
"01/07/2010 18:00",8460
"01/07/2010 19:00",8455
"01/07/2010 20:00",8450
"01/07/2010 21:00",8445
"01/07/2010 22:00",8440
"01/07/2010 23:00",8435
"01/07/2010 00:00",8430
"01/08/2010 01:00",8425
"01/08/2010 02:00",8421
"01/08/2010 03:00",8416
"01/08/2010 04:00",8411
"01/08/2010 05:00",8406
"01/08/2010 06:00",8401
"01/08/2010 07:00",8396
"01/08/2010 08:00",8391
"01/08/2010 09:00",8386
"01/08/2010 10:00",8381
"01/08/2010 11:00",8377
"01/08/2010 12:00",8372
