"DATETIME","Value"
"01/01/2010 01:00",566
"01/01/2010 02:00",570
"01/01/2010 03:00",557
"01/01/2010 04:00",536
"01/01/2010 05:00",551
"01/01/2010 06:00",532
"01/01/2010 07:00",562
"01/01/2010 08:00",2830
"01/01/2010 09:00",3026
"01/01/2010 10:00",1931
"01/01/2010 11:00",1526
"01/01/2010 12:00",1399
"01/01/2010 13:00",1621
"01/01/2010 14:00",1594
"01/01/2010 15:00",1092
"01/01/2010 16:00",1344
"01/01/2010 17:00",798
"01/01/2010 18:00",1512
"01/01/2010 19:00",2215
"01/01/2010 20:00",2534
"01/01/2010 21:00",2621
"01/01/2010 22:00",1804
"01/01/2010 23:00",1242
"01/01/2010 00:00",1031
"01/02/2010 01:00",1287
"01/02/2010 02:00",626
"01/02/2010 03:00",482
"01/02/2010 04:00",575
"01/02/2010 05:00",516
"01/02/2010 06:00",477
"01/02/2010 07:00",914
"01/02/2010 08:00",1954
"01/02/2010 09:00",1796
"01/02/2010 10:00",1722
"01/02/2010 11:00",1960
"01/02/2010 12:00",1543
"01/02/2010 13:00",1471
"01/02/2010 14:00",1699
"01/02/2010 15:00",1136
"01/02/2010 16:00",1161
"01/02/2010 17:00",1038
"01/02/2010 18:00",1936
"01/02/2010 19:00",2429
"01/02/2010 20:00",2633
"01/02/2010 21:00",2033
"01/02/2010 22:00",1534
"01/02/2010 23:00",1635
"01/02/2010 00:00",1660
"01/03/2010 01:00",1052
"01/03/2010 02:00",369
"01/03/2010 03:00",369
"01/03/2010 04:00",377
"01/03/2010 05:00",369
"01/03/2010 06:00",1853
"01/03/2010 07:00",1739
"01/03/2010 08:00",2459
"01/03/2010 09:00",2047
"01/03/2010 10:00",2058
"01/03/2010 11:00",1684
"01/03/2010 12:00",1840
"01/03/2010 13:00",1246
"01/03/2010 14:00",1547
"01/03/2010 15:00",969
"01/03/2010 16:00",2073
"01/03/2010 17:00",675
"01/03/2010 18:00",934
"01/03/2010 19:00",1909
"01/03/2010 20:00",2345
"01/03/2010 21:00",2557
"01/03/2010 22:00",1589
"01/03/2010 23:00",1634
"01/03/2010 00:00",1500
"01/04/2010 01:00",1848
"01/04/2010 02:00",363
"01/04/2010 03:00",363
"01/04/2010 04:00",363
"01/04/2010 05:00",363
"01/04/2010 06:00",1751
"01/04/2010 07:00",2054
"01/04/2010 08:00",1703
"01/04/2010 09:00",1891
"01/04/2010 10:00",2073
"01/04/2010 11:00",1600
"01/04/2010 12:00",1643
"01/04/2010 13:00",1144
"01/04/2010 14:00",1503
"01/04/2010 15:00",1278
"01/04/2010 16:00",1436
"01/04/2010 17:00",1307
"01/04/2010 18:00",1494
"01/04/2010 19:00",2154
"01/04/2010 20:00",1987
"01/04/2010 21:00",2152
"01/04/2010 22:00",1498
"01/04/2010 23:00",1025
"01/04/2010 00:00",1202
"01/05/2010 01:00",838
"01/05/2010 02:00",361
"01/05/2010 03:00",361
"01/05/2010 04:00",357
"01/05/2010 05:00",357
"01/05/2010 06:00",1811
"01/05/2010 07:00",1478
"01/05/2010 08:00",2480
"01/05/2010 09:00",1713
"01/05/2010 10:00",2095
"01/05/2010 11:00",1954
"01/05/2010 12:00",4008
"01/05/2010 13:00",1590
"01/05/2010 14:00",989
"01/05/2010 15:00",1229
"01/05/2010 16:00",1039
"01/05/2010 17:00",797
"01/05/2010 18:00",1118
"01/05/2010 19:00",2497
"01/05/2010 20:00",2989
"01/05/2010 21:00",1810
"01/05/2010 22:00",1042
"01/05/2010 23:00",905
"01/05/2010 00:00",986
"01/06/2010 01:00",1697
"01/06/2010 02:00",1391
"01/06/2010 03:00",1396
"01/06/2010 04:00",1432
"01/06/2010 05:00",1383
"01/06/2010 06:00",1407
"01/06/2010 07:00",1393
"01/06/2010 08:00",1370
"01/06/2010 09:00",1305
"01/06/2010 10:00",1281
"01/06/2010 11:00",1252
"01/06/2010 12:00",1159
"01/06/2010 13:00",1191
"01/06/2010 14:00",1081
"01/06/2010 15:00",1074
"01/06/2010 16:00",1030
"01/06/2010 17:00",1705
"01/06/2010 18:00",3871
"01/06/2010 19:00",5345
"01/06/2010 20:00",4579
"01/06/2010 21:00",5167
"01/06/2010 22:00",1961
"01/06/2010 23:00",1993
"01/06/2010 00:00",910
"01/07/2010 01:00",804
"01/07/2010 02:00",768
"01/07/2010 03:00",779
"01/07/2010 04:00",720
"01/07/2010 05:00",686
"01/07/2010 06:00",671
"01/07/2010 07:00",637
"01/07/2010 08:00",543
"01/07/2010 09:00",706
"01/07/2010 10:00",1140
"01/07/2010 11:00",2524
"01/07/2010 12:00",2166
"01/07/2010 13:00",1417
"01/07/2010 14:00",1586
"01/07/2010 15:00",528
"01/07/2010 16:00",1165
"01/07/2010 17:00",2064
"01/07/2010 18:00",2855
"01/07/2010 19:00",4146
"01/07/2010 20:00",4900
"01/07/2010 21:00",4480
"01/07/2010 22:00",2976
"01/07/2010 23:00",1071
"01/07/2010 00:00",587
"01/08/2010 01:00",566
"01/08/2010 02:00",570
"01/08/2010 03:00",557
"01/08/2010 04:00",536
"01/08/2010 05:00",551
"01/08/2010 06:00",532
"01/08/2010 07:00",562
"01/08/2010 08:00",2830
"01/08/2010 09:00",3026
"01/08/2010 10:00",1931
"01/08/2010 11:00",1526
"01/08/2010 12:00",1399
"01/08/2010 13:00",1621
"01/08/2010 14:00",1594
"01/08/2010 15:00",1092
"01/08/2010 16:00",1344
"01/08/2010 17:00",798
"01/08/2010 18:00",1512
"01/08/2010 19:00",2215
"01/08/2010 20:00",2534
"01/08/2010 21:00",2621
"01/08/2010 22:00",1804
"01/08/2010 23:00",1242
"01/08/2010 00:00",1031
"01/09/2010 01:00",1287
"01/09/2010 02:00",626
"01/09/2010 03:00",482
"01/09/2010 04:00",575
"01/09/2010 05:00",516
"01/09/2010 06:00",477
"01/09/2010 07:00",914
"01/09/2010 08:00",1954
"01/09/2010 09:00",1796
"01/09/2010 10:00",1722
"01/09/2010 11:00",1960
"01/09/2010 12:00",1543
"01/09/2010 13:00",1471
"01/09/2010 14:00",1699
"01/09/2010 15:00",1136
"01/09/2010 16:00",1161
"01/09/2010 17:00",1038
"01/09/2010 18:00",1936
"01/09/2010 19:00",2429
"01/09/2010 20:00",2633
"01/09/2010 21:00",2033
"01/09/2010 22:00",1534
"01/09/2010 23:00",1635
"01/09/2010 00:00",1660
"01/10/2010 01:00",1052
"01/10/2010 02:00",369
"01/10/2010 03:00",369
"01/10/2010 04:00",377
"01/10/2010 05:00",369
"01/10/2010 06:00",1853
"01/10/2010 07:00",1739
"01/10/2010 08:00",2459
"01/10/2010 09:00",2047
"01/10/2010 10:00",2058
"01/10/2010 11:00",1684
"01/10/2010 12:00",1840
"01/10/2010 13:00",1246
"01/10/2010 14:00",1547
"01/10/2010 15:00",969
"01/10/2010 16:00",2073
"01/10/2010 17:00",675
"01/10/2010 18:00",934
"01/10/2010 19:00",1909
"01/10/2010 20:00",2345
"01/10/2010 21:00",2557
"01/10/2010 22:00",1589
"01/10/2010 23:00",1634
"01/10/2010 00:00",1500
"01/11/2010 01:00",1848
"01/11/2010 02:00",363
"01/11/2010 03:00",363
"01/11/2010 04:00",363
"01/11/2010 05:00",363
"01/11/2010 06:00",1751
"01/11/2010 07:00",2054
"01/11/2010 08:00",1703
"01/11/2010 09:00",1891
"01/11/2010 10:00",2073
"01/11/2010 11:00",1600
"01/11/2010 12:00",1643
"01/11/2010 13:00",1144
"01/11/2010 14:00",1503
"01/11/2010 15:00",1278
"01/11/2010 16:00",1436
"01/11/2010 17:00",1307
"01/11/2010 18:00",1494
"01/11/2010 19:00",2154
"01/11/2010 20:00",1987
"01/11/2010 21:00",2152
"01/11/2010 22:00",1498
"01/11/2010 23:00",1025
"01/11/2010 00:00",1202
"01/12/2010 01:00",838
"01/12/2010 02:00",361
"01/12/2010 03:00",361
"01/12/2010 04:00",357
"01/12/2010 05:00",357
"01/12/2010 06:00",1811
"01/12/2010 07:00",1478
"01/12/2010 08:00",2480
"01/12/2010 09:00",1713
"01/12/2010 10:00",2095
"01/12/2010 11:00",1954
"01/12/2010 12:00",4008
"01/12/2010 13:00",1590
"01/12/2010 14:00",989
"01/12/2010 15:00",1229
"01/12/2010 16:00",1039
"01/12/2010 17:00",797
"01/12/2010 18:00",1118
"01/12/2010 19:00",2497
"01/12/2010 20:00",2989
"01/12/2010 21:00",1810
"01/12/2010 22:00",1042
"01/12/2010 23:00",905
"01/12/2010 00:00",986
"01/13/2010 01:00",1252
"01/13/2010 02:00",369
"01/13/2010 03:00",367
"01/13/2010 04:00",367
"01/13/2010 05:00",367
"01/13/2010 06:00",367
"01/13/2010 07:00",367
"01/13/2010 08:00",367
"01/13/2010 09:00",1643
"01/13/2010 10:00",1304
"01/13/2010 11:00",1416
"01/13/2010 12:00",1832
"01/13/2010 13:00",1482
"01/13/2010 14:00",799
"01/13/2010 15:00",1729
"01/13/2010 16:00",1314
"01/13/2010 17:00",849
"01/13/2010 18:00",1256
"01/13/2010 19:00",1973
"01/13/2010 20:00",2658
"01/13/2010 21:00",2866
"01/13/2010 22:00",1633
"01/13/2010 23:00",705
"01/13/2010 00:00",1704
"01/14/2010 01:00",367
"01/14/2010 02:00",367
"01/14/2010 03:00",367
"01/14/2010 04:00",371
"01/14/2010 05:00",369
"01/14/2010 06:00",369
"01/14/2010 07:00",369
"01/14/2010 08:00",369
"01/14/2010 09:00",369
"01/14/2010 10:00",1574
"01/14/2010 11:00",1563
"01/14/2010 12:00",960
"01/14/2010 13:00",1366
"01/14/2010 14:00",1240
"01/14/2010 15:00",1251
"01/14/2010 16:00",1399
"01/14/2010 17:00",1333
"01/14/2010 18:00",1127
"01/14/2010 19:00",2004
"01/14/2010 20:00",2404
"01/14/2010 21:00",2435
"01/14/2010 22:00",2121
"01/14/2010 23:00",1103
"01/14/2010 00:00",893
"01/15/2010 01:00",367
"01/15/2010 02:00",371
"01/15/2010 03:00",367
"01/15/2010 04:00",367
"01/15/2010 05:00",371
"01/15/2010 06:00",1548
"01/15/2010 07:00",1561
"01/15/2010 08:00",1333
"01/15/2010 09:00",709
"01/15/2010 10:00",1383
"01/15/2010 11:00",1605
"01/15/2010 12:00",1959
"01/15/2010 13:00",2231
"01/15/2010 14:00",1824
"01/15/2010 15:00",1064
"01/15/2010 16:00",1044
"01/15/2010 17:00",1620
"01/15/2010 18:00",2733
"01/15/2010 19:00",2395
"01/15/2010 20:00",2336
"01/15/2010 21:00",1879
"01/15/2010 22:00",2291
"01/15/2010 23:00",1396
"01/15/2010 00:00",716
"01/16/2010 01:00",369
"01/16/2010 02:00",369
"01/16/2010 03:00",369
"01/16/2010 04:00",369
"01/16/2010 05:00",369
"01/16/2010 06:00",1658
"01/16/2010 07:00",946
"01/16/2010 08:00",1640
"01/16/2010 09:00",1069
"01/16/2010 10:00",1114
"01/16/2010 11:00",2122
"01/16/2010 12:00",1994
"01/16/2010 13:00",2169
"01/16/2010 14:00",1777
"01/16/2010 15:00",1482
"01/16/2010 16:00",1017
"01/16/2010 17:00",2633
"01/16/2010 18:00",3334
"01/16/2010 19:00",3931
"01/16/2010 20:00",4330
"01/16/2010 21:00",3591
"01/16/2010 22:00",1666
"01/16/2010 23:00",1639
"01/16/2010 00:00",1418
"01/17/2010 01:00",914
"01/17/2010 02:00",627
"01/17/2010 03:00",627
"01/17/2010 04:00",627
"01/17/2010 05:00",627
"01/17/2010 06:00",623
"01/17/2010 07:00",623
"01/17/2010 08:00",2145
"01/17/2010 09:00",1486
"01/17/2010 10:00",1639
"01/17/2010 11:00",1723
"01/17/2010 12:00",1870
"01/17/2010 13:00",1639
"01/17/2010 14:00",1940
"01/17/2010 15:00",1110
"01/17/2010 16:00",1393
"01/17/2010 17:00",1094
"01/17/2010 18:00",1045
"01/17/2010 19:00",2216
"01/17/2010 20:00",2450
"01/17/2010 21:00",2945
"01/17/2010 22:00",1714
"01/17/2010 23:00",1624
"01/17/2010 00:00",1448
"01/18/2010 01:00",623
"01/18/2010 02:00",621
"01/18/2010 03:00",623
"01/18/2010 04:00",621
"01/18/2010 05:00",621
"01/18/2010 06:00",2081
"01/18/2010 07:00",1429
"01/18/2010 08:00",1773
"01/18/2010 09:00",1478
"01/18/2010 10:00",2130
"01/18/2010 11:00",2123
"01/18/2010 12:00",1752
"01/18/2010 13:00",2512
"01/18/2010 14:00",2159
"01/18/2010 15:00",2210
"01/18/2010 16:00",1780
"01/18/2010 17:00",2067
"01/18/2010 18:00",1589
"01/18/2010 19:00",2694
"01/18/2010 20:00",2115
"01/18/2010 21:00",2972
"01/18/2010 22:00",2012
"01/18/2010 23:00",1438
