"DATETIME","Value"
"01/01/2010 01:00",279
"01/01/2010 02:00",213
"01/01/2010 03:00",213
"01/01/2010 04:00",214
"01/01/2010 05:00",213
"01/01/2010 06:00",213
"01/01/2010 07:00",216
"01/01/2010 08:00",874
"01/01/2010 09:00",913
"01/01/2010 10:00",957
"01/01/2010 11:00",964
"01/01/2010 12:00",928
"01/01/2010 13:00",781
"01/01/2010 14:00",808
"01/01/2010 15:00",817
"01/01/2010 16:00",824
"01/01/2010 17:00",839
"01/01/2010 18:00",971
"01/01/2010 19:00",964
"01/01/2010 20:00",956
"01/01/2010 21:00",943
"01/01/2010 22:00",876
"01/01/2010 23:00",541
"01/01/2010 00:00",554
"01/02/2010 01:00",219
"01/02/2010 02:00",219
"01/02/2010 03:00",219
"01/02/2010 04:00",215
"01/02/2010 05:00",213
"01/02/2010 06:00",213
"01/02/2010 07:00",213
"01/02/2010 08:00",892
"01/02/2010 09:00",900
"01/02/2010 10:00",884
"01/02/2010 11:00",884
"01/02/2010 12:00",879
"01/02/2010 13:00",706
"01/02/2010 14:00",706
"01/02/2010 15:00",727
"01/02/2010 16:00",726
"01/02/2010 17:00",903
"01/02/2010 18:00",912
"01/02/2010 19:00",915
"01/02/2010 20:00",916
"01/02/2010 21:00",913
"01/02/2010 22:00",855
"01/02/2010 23:00",675
"01/02/2010 00:00",553
"01/03/2010 01:00",188
"01/03/2010 02:00",188
"01/03/2010 03:00",188
"01/03/2010 04:00",187
"01/03/2010 05:00",188
"01/03/2010 06:00",188
"01/03/2010 07:00",188
"01/03/2010 08:00",724
"01/03/2010 09:00",850
"01/03/2010 10:00",946
"01/03/2010 11:00",580
"01/03/2010 12:00",289
"01/03/2010 13:00",172
"01/03/2010 14:00",172
"01/03/2010 15:00",550
"01/03/2010 16:00",172
"01/03/2010 17:00",642
"01/03/2010 18:00",726
"01/03/2010 19:00",915
"01/03/2010 20:00",859
"01/03/2010 21:00",847
"01/03/2010 22:00",758
"01/03/2010 23:00",698
"01/03/2010 00:00",551
"01/04/2010 01:00",469
"01/04/2010 02:00",290
"01/04/2010 03:00",187
"01/04/2010 04:00",190
"01/04/2010 05:00",185
"01/04/2010 06:00",190
"01/04/2010 07:00",410
"01/04/2010 08:00",936
"01/04/2010 09:00",968
"01/04/2010 10:00",966
"01/04/2010 11:00",957
"01/04/2010 12:00",955
"01/04/2010 13:00",966
"01/04/2010 14:00",826
"01/04/2010 15:00",790
"01/04/2010 16:00",713
"01/04/2010 17:00",709
"01/04/2010 18:00",909
"01/04/2010 19:00",909
"01/04/2010 20:00",908
"01/04/2010 21:00",847
"01/04/2010 22:00",599
"01/04/2010 23:00",538
"01/04/2010 00:00",478
"01/05/2010 01:00",235
"01/05/2010 02:00",190
"01/05/2010 03:00",190
"01/05/2010 04:00",191
"01/05/2010 05:00",188
"01/05/2010 06:00",194
"01/05/2010 07:00",637
"01/05/2010 08:00",863
"01/05/2010 09:00",865
"01/05/2010 10:00",871
"01/05/2010 11:00",899
"01/05/2010 12:00",872
"01/05/2010 13:00",863
"01/05/2010 14:00",645
"01/05/2010 15:00",641
"01/05/2010 16:00",637
"01/05/2010 17:00",535
"01/05/2010 18:00",901
"01/05/2010 19:00",906
"01/05/2010 20:00",920
"01/05/2010 21:00",917
"01/05/2010 22:00",951
"01/05/2010 23:00",944
"01/05/2010 00:00",940
"01/06/2010 01:00",594
"01/06/2010 02:00",274
"01/06/2010 03:00",276
"01/06/2010 04:00",276
"01/06/2010 05:00",274
"01/06/2010 06:00",274
"01/06/2010 07:00",821
"01/06/2010 08:00",949
"01/06/2010 09:00",955
"01/06/2010 10:00",968
"01/06/2010 11:00",966
"01/06/2010 12:00",963
"01/06/2010 13:00",883
"01/06/2010 14:00",883
"01/06/2010 15:00",880
"01/06/2010 16:00",876
"01/06/2010 17:00",982
"01/06/2010 18:00",876
"01/06/2010 19:00",925
"01/06/2010 20:00",919
"01/06/2010 21:00",919
"01/06/2010 22:00",739
"01/06/2010 23:00",524
"01/06/2010 00:00",512
"01/07/2010 01:00",202
"01/07/2010 02:00",200
"01/07/2010 03:00",204
"01/07/2010 04:00",202
"01/07/2010 05:00",204
"01/07/2010 06:00",201
"01/07/2010 07:00",197
"01/07/2010 08:00",732
"01/07/2010 09:00",854
"01/07/2010 10:00",876
"01/07/2010 11:00",950
"01/07/2010 12:00",951
"01/07/2010 13:00",802
"01/07/2010 14:00",809
"01/07/2010 15:00",807
"01/07/2010 16:00",806
"01/07/2010 17:00",804
"01/07/2010 18:00",942
"01/07/2010 19:00",940
"01/07/2010 20:00",941
"01/07/2010 21:00",941
"01/07/2010 22:00",746
"01/07/2010 23:00",498
