"DATETIME","Value"
"01/01/2010 01:00",1916
"01/01/2010 02:00",1061
"01/01/2010 03:00",1040
"01/01/2010 04:00",1035
"01/01/2010 05:00",1038
"01/01/2010 06:00",1027
"01/01/2010 07:00",1181
"01/01/2010 08:00",4090
"01/01/2010 09:00",150
"01/01/2010 10:00",0
"01/01/2010 11:00",0
"01/01/2010 12:00",0
"01/01/2010 13:00",0
"01/01/2010 14:00",0
"01/01/2010 15:00",80
"01/01/2010 16:00",1672
"01/01/2010 17:00",2147
"01/01/2010 18:00",2061
"01/01/2010 19:00",80
"01/01/2010 20:00",0
"01/01/2010 21:00",0
"01/01/2010 22:00",0
"01/01/2010 23:00",0
"01/01/2010 00:00",111
"01/02/2010 01:00",2247
"01/02/2010 02:00",1976
"01/02/2010 03:00",1969
"01/02/2010 04:00",1965
"01/02/2010 05:00",1961
"01/02/2010 06:00",1965
"01/02/2010 07:00",1875
"01/02/2010 08:00",139
"01/02/2010 09:00",1420
"01/02/2010 10:00",1470
"01/02/2010 11:00",1459
"01/02/2010 12:00",1243
"01/02/2010 13:00",1234
"01/02/2010 14:00",1231
"01/02/2010 15:00",1241
"01/02/2010 16:00",1237
"01/02/2010 17:00",1262
"01/02/2010 18:00",1706
"01/02/2010 19:00",1723
"01/02/2010 20:00",1718
"01/02/2010 21:00",1718
"01/02/2010 22:00",1718
"01/02/2010 23:00",1637
"01/02/2010 00:00",62
"01/03/2010 01:00",111
"01/03/2010 02:00",2301
"01/03/2010 03:00",2227
"01/03/2010 04:00",2158
"01/03/2010 05:00",1972
"01/03/2010 06:00",2128
"01/03/2010 07:00",2487
"01/03/2010 08:00",2428
"01/03/2010 09:00",1976
"01/03/2010 10:00",1959
"01/03/2010 11:00",1959
"01/03/2010 12:00",1867
"01/03/2010 13:00",71
"01/03/2010 14:00",0
"01/03/2010 15:00",0
"01/03/2010 16:00",0
"01/03/2010 17:00",0
"01/03/2010 18:00",102
"01/03/2010 19:00",1985
"01/03/2010 20:00",2064
"01/03/2010 21:00",2002
"01/03/2010 22:00",2015
"01/03/2010 23:00",1964
"01/03/2010 00:00",1862
"01/04/2010 01:00",144
"01/04/2010 02:00",1664
"01/04/2010 03:00",1792
"01/04/2010 04:00",1482
"01/04/2010 05:00",1598
"01/04/2010 06:00",3314
"01/04/2010 07:00",3369
"01/04/2010 08:00",3601
"01/04/2010 09:00",3178
"01/04/2010 10:00",121
"01/04/2010 11:00",0
"01/04/2010 12:00",0
"01/04/2010 13:00",0
"01/04/2010 14:00",0
"01/04/2010 15:00",0
"01/04/2010 16:00",0
"01/04/2010 17:00",0
"01/04/2010 18:00",0
"01/04/2010 19:00",0
"01/04/2010 20:00",94
"01/04/2010 21:00",1938
"01/04/2010 22:00",2014
"01/04/2010 23:00",2008
"01/04/2010 00:00",2010
"01/05/2010 01:00",2012
"01/05/2010 02:00",1966
"01/05/2010 03:00",1963
"01/05/2010 04:00",1972
"01/05/2010 05:00",1963
"01/05/2010 06:00",1962
"01/05/2010 07:00",1962
"01/05/2010 08:00",1961
"01/05/2010 09:00",1962
"01/05/2010 10:00",1965
"01/05/2010 11:00",1967
"01/05/2010 12:00",1964
"01/05/2010 13:00",1956
"01/05/2010 14:00",1963
"01/05/2010 15:00",2001
"01/05/2010 16:00",1974
"01/05/2010 17:00",2015
"01/05/2010 18:00",1950
"01/05/2010 19:00",1918
"01/05/2010 20:00",74
"01/05/2010 21:00",0
"01/05/2010 22:00",0
"01/05/2010 23:00",0
"01/05/2010 00:00",0
"01/06/2010 01:00",0
"01/06/2010 02:00",0
"01/06/2010 03:00",0
"01/06/2010 04:00",0
"01/06/2010 05:00",0
"01/06/2010 06:00",0
"01/06/2010 07:00",645
"01/06/2010 08:00",2012
"01/06/2010 09:00",2013
"01/06/2010 10:00",1922
"01/06/2010 11:00",76
"01/06/2010 12:00",0
"01/06/2010 13:00",0
"01/06/2010 14:00",95
"01/06/2010 15:00",1983
"01/06/2010 16:00",2063
"01/06/2010 17:00",2063
"01/06/2010 18:00",2066
"01/06/2010 19:00",2063
"01/06/2010 20:00",2067
"01/06/2010 21:00",2070
"01/06/2010 22:00",2067
"01/06/2010 23:00",2109
"01/06/2010 00:00",2872
"01/07/2010 01:00",2801
"01/07/2010 02:00",1762
"01/07/2010 03:00",1713
"01/07/2010 04:00",1727
"01/07/2010 05:00",1726
"01/07/2010 06:00",1719
"01/07/2010 07:00",1714
"01/07/2010 08:00",1722
"01/07/2010 09:00",1724
"01/07/2010 10:00",1952
"01/07/2010 11:00",1958
"01/07/2010 12:00",1953
"01/07/2010 13:00",1962
"01/07/2010 14:00",1969
"01/07/2010 15:00",1967
"01/07/2010 16:00",1874
"01/07/2010 17:00",73
"01/07/2010 18:00",0
"01/07/2010 19:00",60
"01/07/2010 20:00",1262
"01/07/2010 21:00",1938
"01/07/2010 22:00",1959
"01/07/2010 23:00",1964
"01/07/2010 00:00",1964
"01/08/2010 01:00",1916
"01/08/2010 02:00",1061
"01/08/2010 03:00",1040
"01/08/2010 04:00",1035
"01/08/2010 05:00",1038
"01/08/2010 06:00",1027
"01/08/2010 07:00",1181
"01/08/2010 08:00",4090
"01/08/2010 09:00",150
"01/08/2010 10:00",0
"01/08/2010 11:00",0
"01/08/2010 12:00",0
"01/08/2010 13:00",0
"01/08/2010 14:00",0
"01/08/2010 15:00",80
"01/08/2010 16:00",1672
"01/08/2010 17:00",2147
"01/08/2010 18:00",2061
"01/08/2010 19:00",80
"01/08/2010 20:00",0
"01/08/2010 21:00",0
"01/08/2010 22:00",0
"01/08/2010 23:00",0
"01/08/2010 00:00",111
"01/09/2010 01:00",2247
"01/09/2010 02:00",1976
"01/09/2010 03:00",1969
"01/09/2010 04:00",1965
"01/09/2010 05:00",1961
"01/09/2010 06:00",1965
"01/09/2010 07:00",1875
"01/09/2010 08:00",139
"01/09/2010 09:00",1420
"01/09/2010 10:00",1470
"01/09/2010 11:00",1459
"01/09/2010 12:00",1243
"01/09/2010 13:00",1234
"01/09/2010 14:00",1231
"01/09/2010 15:00",1241
"01/09/2010 16:00",1237
"01/09/2010 17:00",1262
"01/09/2010 18:00",1706
"01/09/2010 19:00",1723
"01/09/2010 20:00",1718
"01/09/2010 21:00",1718
"01/09/2010 22:00",1718
"01/09/2010 23:00",1637
"01/09/2010 00:00",62
"01/10/2010 01:00",111
"01/10/2010 02:00",2301
"01/10/2010 03:00",2227
"01/10/2010 04:00",2158
"01/10/2010 05:00",1972
"01/10/2010 06:00",2128
"01/10/2010 07:00",2487
"01/10/2010 08:00",2428
"01/10/2010 09:00",1976
"01/10/2010 10:00",1959
"01/10/2010 11:00",1959
"01/10/2010 12:00",1867
"01/10/2010 13:00",71
"01/10/2010 14:00",0
"01/10/2010 15:00",0
"01/10/2010 16:00",0
"01/10/2010 17:00",0
"01/10/2010 18:00",102
"01/10/2010 19:00",1985
"01/10/2010 20:00",2064
"01/10/2010 21:00",2002
"01/10/2010 22:00",2015
"01/10/2010 23:00",1964
"01/10/2010 00:00",1862
"01/11/2010 01:00",144
"01/11/2010 02:00",1664
"01/11/2010 03:00",1792
"01/11/2010 04:00",1482
"01/11/2010 05:00",1598
"01/11/2010 06:00",3314
"01/11/2010 07:00",3369
"01/11/2010 08:00",3601
"01/11/2010 09:00",3178
"01/11/2010 10:00",121
"01/11/2010 11:00",0
"01/11/2010 12:00",0
"01/11/2010 13:00",0
"01/11/2010 14:00",0
"01/11/2010 15:00",0
"01/11/2010 16:00",0
"01/11/2010 17:00",0
"01/11/2010 18:00",0
"01/11/2010 19:00",0
"01/11/2010 20:00",94
"01/11/2010 21:00",1938
"01/11/2010 22:00",2014
"01/11/2010 23:00",2008
"01/11/2010 00:00",2010
"01/12/2010 01:00",2012
"01/12/2010 02:00",1966
"01/12/2010 03:00",1963
"01/12/2010 04:00",1972
"01/12/2010 05:00",1963
"01/12/2010 06:00",1962
"01/12/2010 07:00",1962
"01/12/2010 08:00",1961
"01/12/2010 09:00",1962
"01/12/2010 10:00",1965
"01/12/2010 11:00",1967
"01/12/2010 12:00",1964
"01/12/2010 13:00",1956
"01/12/2010 14:00",1963
"01/12/2010 15:00",2001
"01/12/2010 16:00",1974
"01/12/2010 17:00",2015
"01/12/2010 18:00",1950
"01/12/2010 19:00",1918
"01/12/2010 20:00",74
"01/12/2010 21:00",0
"01/12/2010 22:00",0
"01/12/2010 23:00",0
"01/12/2010 00:00",0
"01/13/2010 01:00",113
"01/13/2010 02:00",2359
"01/13/2010 03:00",2452
"01/13/2010 04:00",2454
"01/13/2010 05:00",2453
"01/13/2010 06:00",2450
"01/13/2010 07:00",2458
"01/13/2010 08:00",2335
"01/13/2010 09:00",90
"01/13/2010 10:00",0
"01/13/2010 11:00",0
"01/13/2010 12:00",0
"01/13/2010 13:00",0
"01/13/2010 14:00",0
"01/13/2010 15:00",0
"01/13/2010 16:00",0
"01/13/2010 17:00",0
"01/13/2010 18:00",0
"01/13/2010 19:00",80
"01/13/2010 20:00",1631
"01/13/2010 21:00",1847
"01/13/2010 22:00",1678
"01/13/2010 23:00",1727
"01/13/2010 00:00",2456
"01/14/2010 01:00",2342
"01/14/2010 02:00",90
"01/14/2010 03:00",0
"01/14/2010 04:00",115
"01/14/2010 05:00",2358
"01/14/2010 06:00",2452
"01/14/2010 07:00",2455
"01/14/2010 08:00",2452
"01/14/2010 09:00",2450
"01/14/2010 10:00",2449
"01/14/2010 11:00",2455
"01/14/2010 12:00",2458
"01/14/2010 13:00",2463
"01/14/2010 14:00",2450
"01/14/2010 15:00",2455
"01/14/2010 16:00",2452
"01/14/2010 17:00",2457
"01/14/2010 18:00",2450
"01/14/2010 19:00",2451
"01/14/2010 20:00",2448
"01/14/2010 21:00",2337
"01/14/2010 22:00",90
"01/14/2010 23:00",0
"01/14/2010 00:00",0
"01/15/2010 01:00",97
"01/15/2010 02:00",1990
"01/15/2010 03:00",2063
"01/15/2010 04:00",2064
"01/15/2010 05:00",2065
"01/15/2010 06:00",2062
"01/15/2010 07:00",2131
"01/15/2010 08:00",4218
"01/15/2010 09:00",1935
"01/15/2010 10:00",1797
"01/15/2010 11:00",1790
"01/15/2010 12:00",1810
"01/15/2010 13:00",1776
"01/15/2010 14:00",1726
"01/15/2010 15:00",1762
