"DATETIME","Value"
"01/01/2010 01:00",6000
"01/01/2010 02:00",6571
"01/01/2010 03:00",6286
"01/01/2010 04:00",6571
"01/01/2010 05:00",6000
"01/01/2010 06:00",5714
"01/01/2010 07:00",6571
"01/01/2010 08:00",6857
"01/01/2010 09:00",6000
"01/01/2010 10:00",5714
"01/01/2010 11:00",6857
"01/01/2010 12:00",6000
"01/01/2010 13:00",4857
"01/01/2010 14:00",6571
"01/01/2010 15:00",6286
"01/01/2010 16:00",5714
"01/01/2010 17:00",6571
"01/01/2010 18:00",6857
"01/01/2010 19:00",5429
"01/01/2010 20:00",5714
"01/01/2010 21:00",6286
"01/01/2010 22:00",6000
"01/01/2010 23:00",6571
"01/01/2010 00:00",6286
"01/02/2010 01:00",6857
"01/02/2010 02:00",7143
"01/02/2010 03:00",6571
"01/02/2010 04:00",6000
"01/02/2010 05:00",6286
"01/02/2010 06:00",6000
"01/02/2010 07:00",6000
"01/02/2010 08:00",6286
"01/02/2010 09:00",6286
"01/02/2010 10:00",6000
"01/02/2010 11:00",5714
"01/02/2010 12:00",5429
"01/02/2010 13:00",5429
"01/02/2010 14:00",5714
"01/02/2010 15:00",6286
"01/02/2010 16:00",5714
"01/02/2010 17:00",6286
"01/02/2010 18:00",6857
"01/02/2010 19:00",6000
"01/02/2010 20:00",6286
"01/02/2010 21:00",5714
"01/02/2010 22:00",6286
"01/02/2010 23:00",6286
"01/02/2010 00:00",6286
"01/03/2010 01:00",6000
"01/03/2010 02:00",6000
"01/03/2010 03:00",6000
"01/03/2010 04:00",6286
"01/03/2010 05:00",6000
"01/03/2010 06:00",6000
"01/03/2010 07:00",5714
"01/03/2010 08:00",5714
"01/03/2010 09:00",5714
"01/03/2010 10:00",5714
"01/03/2010 11:00",6571
"01/03/2010 12:00",6000
"01/03/2010 13:00",5714
"01/03/2010 14:00",6000
"01/03/2010 15:00",6571
"01/03/2010 16:00",5429
"01/03/2010 17:00",6286
"01/03/2010 18:00",6286
"01/03/2010 19:00",6000
"01/03/2010 20:00",6000
"01/03/2010 21:00",5714
"01/03/2010 22:00",5714
"01/03/2010 23:00",5714
"01/03/2010 00:00",6286
"01/04/2010 01:00",6286
"01/04/2010 02:00",6000
"01/04/2010 03:00",6000
"01/04/2010 04:00",6857
"01/04/2010 05:00",3714
"01/04/2010 06:00",3714
"01/04/2010 07:00",3714
"01/04/2010 08:00",3143
"01/04/2010 09:00",3429
"01/04/2010 10:00",3429
"01/04/2010 11:00",3429
"01/04/2010 12:00",4286
"01/04/2010 13:00",3714
"01/04/2010 14:00",3429
"01/04/2010 15:00",4000
"01/04/2010 16:00",3714
"01/04/2010 17:00",4000
"01/04/2010 18:00",4000
"01/04/2010 19:00",3429
"01/04/2010 20:00",3714
"01/04/2010 21:00",3429
