"DATETIME","Value"
"01/01/2010 01:00",2
"01/01/2010 02:00",2
"01/01/2010 03:00",0
"01/01/2010 04:00",0
"01/01/2010 05:00",0
"01/01/2010 06:00",0
"01/01/2010 07:00",0
"01/01/2010 08:00",1
"01/01/2010 09:00",0
"01/01/2010 10:00",3
"01/01/2010 11:00",9
"01/01/2010 12:00",4
"01/01/2010 13:00",0
"01/01/2010 14:00",4
"01/01/2010 15:00",9
"01/01/2010 16:00",9
"01/01/2010 17:00",21
"01/01/2010 18:00",18
"01/01/2010 19:00",21
"01/01/2010 20:00",21
"01/01/2010 21:00",21
"01/01/2010 22:00",20
"01/01/2010 23:00",12
"01/01/2010 00:00",12
"01/02/2010 01:00",12
"01/02/2010 02:00",3
"01/02/2010 03:00",2
"01/02/2010 04:00",3
"01/02/2010 05:00",2
"01/02/2010 06:00",7
"01/02/2010 07:00",8
"01/02/2010 08:00",17
"01/02/2010 09:00",22
"01/02/2010 10:00",22
"01/02/2010 11:00",22
"01/02/2010 12:00",22
"01/02/2010 13:00",22
"01/02/2010 14:00",22
"01/02/2010 15:00",22
"01/02/2010 16:00",22
"01/02/2010 17:00",22
"01/02/2010 18:00",30
"01/02/2010 19:00",38
"01/02/2010 20:00",38
"01/02/2010 21:00",34
"01/02/2010 22:00",17
"01/02/2010 23:00",33
"01/02/2010 00:00",37
"01/03/2010 01:00",37
"01/03/2010 02:00",0
"01/03/2010 03:00",0
"01/03/2010 04:00",0
"01/03/2010 05:00",0
"01/03/2010 06:00",0
"01/03/2010 07:00",0
"01/03/2010 08:00",0
"01/03/2010 09:00",10
"01/03/2010 10:00",25
"01/03/2010 11:00",39
"01/03/2010 12:00",24
"01/03/2010 13:00",13
"01/03/2010 14:00",7
"01/03/2010 15:00",2
"01/03/2010 16:00",2
"01/03/2010 17:00",12
"01/03/2010 18:00",19
"01/03/2010 19:00",38
"01/03/2010 20:00",38
"01/03/2010 21:00",47
"01/03/2010 22:00",38
"01/03/2010 23:00",37
"01/03/2010 00:00",32
"01/04/2010 01:00",29
"01/04/2010 02:00",12
"01/04/2010 03:00",0
"01/04/2010 04:00",0
"01/04/2010 05:00",0
"01/04/2010 06:00",5
"01/04/2010 07:00",17
"01/04/2010 08:00",41
"01/04/2010 09:00",41
"01/04/2010 10:00",41
"01/04/2010 11:00",41
"01/04/2010 12:00",41
"01/04/2010 13:00",41
"01/04/2010 14:00",41
"01/04/2010 15:00",41
"01/04/2010 16:00",41
"01/04/2010 17:00",41
"01/04/2010 18:00",41
"01/04/2010 19:00",41
"01/04/2010 20:00",41
"01/04/2010 21:00",41
"01/04/2010 22:00",37
"01/04/2010 23:00",32
"01/04/2010 00:00",16
"01/05/2010 01:00",7
"01/05/2010 02:00",0
"01/05/2010 03:00",0
"01/05/2010 04:00",0
"01/05/2010 05:00",0
"01/05/2010 06:00",0
"01/05/2010 07:00",4
"01/05/2010 08:00",17
"01/05/2010 09:00",39
"01/05/2010 10:00",39
"01/05/2010 11:00",42
"01/05/2010 12:00",41
"01/05/2010 13:00",41
"01/05/2010 14:00",41
"01/05/2010 15:00",41
"01/05/2010 16:00",38
"01/05/2010 17:00",41
"01/05/2010 18:00",44
"01/05/2010 19:00",47
"01/05/2010 20:00",47
"01/05/2010 21:00",47
"01/05/2010 22:00",41
"01/05/2010 23:00",33
"01/05/2010 00:00",31
"01/06/2010 01:00",2
"01/06/2010 02:00",2
"01/06/2010 03:00",0
"01/06/2010 04:00",0
"01/06/2010 05:00",0
"01/06/2010 06:00",0
"01/06/2010 07:00",0
"01/06/2010 08:00",0
"01/06/2010 09:00",0
"01/06/2010 10:00",3
"01/06/2010 11:00",2
"01/06/2010 12:00",11
"01/06/2010 13:00",11
"01/06/2010 14:00",14
"01/06/2010 15:00",12
"01/06/2010 16:00",13
"01/06/2010 17:00",16
"01/06/2010 18:00",36
"01/06/2010 19:00",37
"01/06/2010 20:00",37
"01/06/2010 21:00",37
"01/06/2010 22:00",30
"01/06/2010 23:00",12
"01/06/2010 00:00",8
"01/07/2010 01:00",2
"01/07/2010 02:00",2
"01/07/2010 03:00",2
"01/07/2010 04:00",2
"01/07/2010 05:00",2
"01/07/2010 06:00",2
"01/07/2010 07:00",2
"01/07/2010 08:00",2
"01/07/2010 09:00",2
"01/07/2010 10:00",2
"01/07/2010 11:00",2
"01/07/2010 12:00",2
"01/07/2010 13:00",28
"01/07/2010 14:00",31
"01/07/2010 15:00",27
"01/07/2010 16:00",12
"01/07/2010 17:00",28
"01/07/2010 18:00",29
"01/07/2010 19:00",28
"01/07/2010 20:00",29
"01/07/2010 21:00",35
"01/07/2010 22:00",35
"01/07/2010 23:00",31
"01/07/2010 00:00",10
"01/08/2010 01:00",2
"01/08/2010 02:00",2
"01/08/2010 03:00",0
"01/08/2010 04:00",0
"01/08/2010 05:00",0
"01/08/2010 06:00",0
"01/08/2010 07:00",0
"01/08/2010 08:00",1
"01/08/2010 09:00",0
"01/08/2010 10:00",3
"01/08/2010 11:00",9
"01/08/2010 12:00",4
"01/08/2010 13:00",0
"01/08/2010 14:00",4
"01/08/2010 15:00",9
"01/08/2010 16:00",9
"01/08/2010 17:00",21
"01/08/2010 18:00",18
"01/08/2010 19:00",21
"01/08/2010 20:00",21
"01/08/2010 21:00",21
"01/08/2010 22:00",20
"01/08/2010 23:00",12
"01/08/2010 00:00",12
"01/09/2010 01:00",12
"01/09/2010 02:00",3
"01/09/2010 03:00",2
"01/09/2010 04:00",3
"01/09/2010 05:00",2
"01/09/2010 06:00",7
"01/09/2010 07:00",8
"01/09/2010 08:00",17
"01/09/2010 09:00",22
"01/09/2010 10:00",22
"01/09/2010 11:00",22
"01/09/2010 12:00",22
"01/09/2010 13:00",22
"01/09/2010 14:00",22
"01/09/2010 15:00",22
"01/09/2010 16:00",22
"01/09/2010 17:00",22
"01/09/2010 18:00",30
"01/09/2010 19:00",38
"01/09/2010 20:00",38
"01/09/2010 21:00",34
"01/09/2010 22:00",17
"01/09/2010 23:00",33
"01/09/2010 00:00",37
"01/10/2010 01:00",37
"01/10/2010 02:00",0
"01/10/2010 03:00",0
"01/10/2010 04:00",0
"01/10/2010 05:00",0
"01/10/2010 06:00",0
"01/10/2010 07:00",0
"01/10/2010 08:00",0
"01/10/2010 09:00",10
"01/10/2010 10:00",25
"01/10/2010 11:00",39
"01/10/2010 12:00",24
"01/10/2010 13:00",13
"01/10/2010 14:00",7
"01/10/2010 15:00",2
"01/10/2010 16:00",2
"01/10/2010 17:00",12
"01/10/2010 18:00",19
"01/10/2010 19:00",38
"01/10/2010 20:00",38
"01/10/2010 21:00",47
"01/10/2010 22:00",38
"01/10/2010 23:00",37
"01/10/2010 00:00",32
"01/11/2010 01:00",29
"01/11/2010 02:00",12
"01/11/2010 03:00",0
"01/11/2010 04:00",0
"01/11/2010 05:00",0
"01/11/2010 06:00",5
"01/11/2010 07:00",17
"01/11/2010 08:00",41
"01/11/2010 09:00",41
"01/11/2010 10:00",41
"01/11/2010 11:00",41
"01/11/2010 12:00",41
"01/11/2010 13:00",41
"01/11/2010 14:00",41
"01/11/2010 15:00",41
"01/11/2010 16:00",41
"01/11/2010 17:00",41
"01/11/2010 18:00",41
"01/11/2010 19:00",41
"01/11/2010 20:00",41
"01/11/2010 21:00",41
"01/11/2010 22:00",37
"01/11/2010 23:00",32
"01/11/2010 00:00",16
"01/12/2010 01:00",7
"01/12/2010 02:00",0
"01/12/2010 03:00",0
"01/12/2010 04:00",0
"01/12/2010 05:00",0
"01/12/2010 06:00",0
"01/12/2010 07:00",4
"01/12/2010 08:00",17
"01/12/2010 09:00",39
"01/12/2010 10:00",39
"01/12/2010 11:00",42
"01/12/2010 12:00",41
"01/12/2010 13:00",41
"01/12/2010 14:00",41
"01/12/2010 15:00",41
"01/12/2010 16:00",38
"01/12/2010 17:00",41
"01/12/2010 18:00",44
"01/12/2010 19:00",47
"01/12/2010 20:00",47
"01/12/2010 21:00",47
"01/12/2010 22:00",41
"01/12/2010 23:00",33
"01/12/2010 00:00",31
"01/13/2010 01:00",2
"01/13/2010 02:00",2
"01/13/2010 03:00",4
"01/13/2010 04:00",4
"01/13/2010 05:00",2
"01/13/2010 06:00",1
"01/13/2010 07:00",7
"01/13/2010 08:00",12
"01/13/2010 09:00",17
"01/13/2010 10:00",21
"01/13/2010 11:00",21
"01/13/2010 12:00",38
"01/13/2010 13:00",20
"01/13/2010 14:00",33
"01/13/2010 15:00",32
"01/13/2010 16:00",29
"01/13/2010 17:00",47
"01/13/2010 18:00",52
"01/13/2010 19:00",52
"01/13/2010 20:00",46
"01/13/2010 21:00",37
"01/13/2010 22:00",33
"01/13/2010 23:00",32
"01/13/2010 00:00",32
"01/14/2010 01:00",13
"01/14/2010 02:00",13
"01/14/2010 03:00",12
"01/14/2010 04:00",12
"01/14/2010 05:00",13
"01/14/2010 06:00",22
"01/14/2010 07:00",21
"01/14/2010 08:00",38
"01/14/2010 09:00",40
"01/14/2010 10:00",40
"01/14/2010 11:00",18
"01/14/2010 12:00",12
"01/14/2010 13:00",2
"01/14/2010 14:00",2
"01/14/2010 15:00",2
"01/14/2010 16:00",2
"01/14/2010 17:00",22
"01/14/2010 18:00",38
"01/14/2010 19:00",44
"01/14/2010 20:00",44
"01/14/2010 21:00",44
"01/14/2010 22:00",29
"01/14/2010 23:00",38
"01/14/2010 00:00",22
"01/15/2010 01:00",22
"01/15/2010 02:00",22
"01/15/2010 03:00",38
"01/15/2010 04:00",43
"01/15/2010 05:00",52
"01/15/2010 06:00",52
"01/15/2010 07:00",53
"01/15/2010 08:00",53
"01/15/2010 09:00",53
"01/15/2010 10:00",54
"01/15/2010 11:00",54
"01/15/2010 12:00",33
"01/15/2010 13:00",28
"01/15/2010 14:00",28
"01/15/2010 15:00",28
"01/15/2010 16:00",28
"01/15/2010 17:00",33
"01/15/2010 18:00",38
"01/15/2010 19:00",43
"01/15/2010 20:00",44
"01/15/2010 21:00",39
"01/15/2010 22:00",31
"01/15/2010 23:00",28
"01/15/2010 00:00",13
"01/16/2010 01:00",7
"01/16/2010 02:00",2
"01/16/2010 03:00",2
"01/16/2010 04:00",32
"01/16/2010 05:00",53
"01/16/2010 06:00",57
"01/16/2010 07:00",58
"01/16/2010 08:00",57
"01/16/2010 09:00",57
"01/16/2010 10:00",57
"01/16/2010 11:00",55
"01/16/2010 12:00",50
"01/16/2010 13:00",44
"01/16/2010 14:00",28
"01/16/2010 15:00",28
"01/16/2010 16:00",38
"01/16/2010 17:00",38
"01/16/2010 18:00",43
"01/16/2010 19:00",46
"01/16/2010 20:00",27
"01/16/2010 21:00",38
"01/16/2010 22:00",33
"01/16/2010 23:00",29
"01/16/2010 00:00",29
"01/17/2010 01:00",12
"01/17/2010 02:00",12
"01/17/2010 03:00",3
"01/17/2010 04:00",3
"01/17/2010 05:00",3
"01/17/2010 06:00",3
"01/17/2010 07:00",12
"01/17/2010 08:00",17
"01/17/2010 09:00",30
"01/17/2010 10:00",39
"01/17/2010 11:00",31
"01/17/2010 12:00",35
"01/17/2010 13:00",28
"01/17/2010 14:00",12
"01/17/2010 15:00",8
"01/17/2010 16:00",2
"01/17/2010 17:00",12
"01/17/2010 18:00",30
"01/17/2010 19:00",39
"01/17/2010 20:00",39
"01/17/2010 21:00",39
"01/17/2010 22:00",34
"01/17/2010 23:00",13
"01/17/2010 00:00",12
"01/18/2010 01:00",12
"01/18/2010 02:00",28
"01/18/2010 03:00",3
"01/18/2010 04:00",3
"01/18/2010 05:00",3
"01/18/2010 06:00",3
"01/18/2010 07:00",7
"01/18/2010 08:00",17
"01/18/2010 09:00",43
"01/18/2010 10:00",44
"01/18/2010 11:00",44
"01/18/2010 12:00",37
"01/18/2010 13:00",29
"01/18/2010 14:00",4
"01/18/2010 15:00",2
"01/18/2010 16:00",2
"01/18/2010 17:00",7
"01/18/2010 18:00",25
"01/18/2010 19:00",40
"01/18/2010 20:00",44
"01/18/2010 21:00",50
"01/18/2010 22:00",39
"01/18/2010 23:00",2
"01/18/2010 00:00",28
"01/19/2010 01:00",12
"01/19/2010 02:00",0
"01/19/2010 03:00",0
"01/19/2010 04:00",0
"01/19/2010 05:00",0
"01/19/2010 06:00",2
"01/19/2010 07:00",17
"01/19/2010 08:00",22
"01/19/2010 09:00",23
"01/19/2010 10:00",41
"01/19/2010 11:00",44
"01/19/2010 12:00",47
"01/19/2010 13:00",47
"01/19/2010 14:00",47
"01/19/2010 15:00",47
"01/19/2010 16:00",18
"01/19/2010 17:00",14
"01/19/2010 18:00",18
"01/19/2010 19:00",39
"01/19/2010 20:00",39
"01/19/2010 21:00",39
"01/19/2010 22:00",17
"01/19/2010 23:00",4
"01/19/2010 00:00",12
"01/20/2010 01:00",12
"01/20/2010 02:00",0
"01/20/2010 03:00",0
"01/20/2010 04:00",0
"01/20/2010 05:00",0
"01/20/2010 06:00",0
"01/20/2010 07:00",0
"01/20/2010 08:00",0
"01/20/2010 09:00",7
"01/20/2010 10:00",12
"01/20/2010 11:00",12
"01/20/2010 12:00",12
"01/20/2010 13:00",12
"01/20/2010 14:00",8
"01/20/2010 15:00",2
"01/20/2010 16:00",2
