"DATETIME","Value"
"01/01/2010 01:00",2985
"01/01/2010 02:00",3048
"01/01/2010 03:00",3004
"01/01/2010 04:00",3000
"01/01/2010 05:00",2999
"01/01/2010 06:00",2972
"01/01/2010 07:00",3107
"01/01/2010 08:00",3068
"01/01/2010 09:00",2967
"01/01/2010 10:00",3014
"01/01/2010 11:00",3049
"01/01/2010 12:00",3026
"01/01/2010 13:00",3057
"01/01/2010 14:00",3060
"01/01/2010 15:00",3033
"01/01/2010 16:00",3058
"01/01/2010 17:00",3036
"01/01/2010 18:00",3012
"01/01/2010 19:00",3064
"01/01/2010 20:00",3079
"01/01/2010 21:00",3045
"01/01/2010 22:00",3025
"01/01/2010 23:00",3046
"01/01/2010 00:00",2908
"01/02/2010 01:00",2869
"01/02/2010 02:00",3062
"01/02/2010 03:00",3039
"01/02/2010 04:00",3018
"01/02/2010 05:00",3015
"01/02/2010 06:00",2982
"01/02/2010 07:00",3117
"01/02/2010 08:00",2956
"01/02/2010 09:00",2981
"01/02/2010 10:00",3025
"01/02/2010 11:00",3039
"01/02/2010 12:00",3038
"01/02/2010 13:00",3077
"01/02/2010 14:00",3054
"01/02/2010 15:00",3017
"01/02/2010 16:00",3052
"01/02/2010 17:00",3052
"01/02/2010 18:00",2998
"01/02/2010 19:00",3157
"01/02/2010 20:00",3060
"01/02/2010 21:00",3062
"01/02/2010 22:00",2958
"01/02/2010 23:00",3124
"01/02/2010 00:00",2989
"01/03/2010 01:00",3132
"01/03/2010 02:00",2989
"01/03/2010 03:00",2945
"01/03/2010 04:00",2920
"01/03/2010 05:00",2924
"01/03/2010 06:00",2953
"01/03/2010 07:00",3110
"01/03/2010 08:00",3099
"01/03/2010 09:00",3118
"01/03/2010 10:00",3129
"01/03/2010 11:00",3032
"01/03/2010 12:00",3098
"01/03/2010 13:00",3104
"01/03/2010 14:00",3039
"01/03/2010 15:00",3042
"01/03/2010 16:00",3043
"01/03/2010 17:00",3043
"01/03/2010 18:00",3110
"01/03/2010 19:00",3175
"01/03/2010 20:00",3077
"01/03/2010 21:00",3124
"01/03/2010 22:00",3124
"01/03/2010 23:00",3152
"01/03/2010 00:00",3114
"01/04/2010 01:00",3030
"01/04/2010 02:00",3101
"01/04/2010 03:00",3094
"01/04/2010 04:00",3070
"01/04/2010 05:00",3073
"01/04/2010 06:00",3088
