"DATETIME","Value"
"01/01/2010 01:00",804
"01/01/2010 02:00",701
"01/01/2010 03:00",240
"01/01/2010 04:00",402
"01/01/2010 05:00",603
"01/01/2010 06:00",1456
"01/01/2010 07:00",2260
"01/01/2010 08:00",2358
"01/01/2010 09:00",2349
"01/01/2010 10:00",1782
"01/01/2010 11:00",904
"01/01/2010 12:00",725
"01/01/2010 13:00",736
"01/01/2010 14:00",853
"01/01/2010 15:00",1349
"01/01/2010 16:00",1346
"01/01/2010 17:00",1873
"01/01/2010 18:00",2167
"01/01/2010 19:00",2235
"01/01/2010 20:00",2347
"01/01/2010 21:00",2376
"01/01/2010 22:00",1508
"01/01/2010 23:00",1631
"01/01/2010 00:00",1377
"01/02/2010 01:00",2043
"01/02/2010 02:00",834
"01/02/2010 03:00",668
"01/02/2010 04:00",1060
"01/02/2010 05:00",1256
"01/02/2010 06:00",1841
"01/02/2010 07:00",2243
"01/02/2010 08:00",2402
"01/02/2010 09:00",2134
"01/02/2010 10:00",2099
"01/02/2010 11:00",2269
"01/02/2010 12:00",1870
"01/02/2010 13:00",1797
"01/02/2010 14:00",1533
"01/02/2010 15:00",1168
"01/02/2010 16:00",1295
"01/02/2010 17:00",1717
"01/02/2010 18:00",2455
"01/02/2010 19:00",2412
"01/02/2010 20:00",2549
"01/02/2010 21:00",2353
"01/02/2010 22:00",2130
"01/02/2010 23:00",1508
"01/02/2010 00:00",1506
"01/03/2010 01:00",1169
"01/03/2010 02:00",975
"01/03/2010 03:00",945
"01/03/2010 04:00",709
"01/03/2010 05:00",1137
"01/03/2010 06:00",1262
"01/03/2010 07:00",1791
"01/03/2010 08:00",1775
"01/03/2010 09:00",2076
"01/03/2010 10:00",2089
"01/03/2010 11:00",2107
"01/03/2010 12:00",1982
"01/03/2010 13:00",1922
"01/03/2010 14:00",1876
"01/03/2010 15:00",1880
"01/03/2010 16:00",1704
"01/03/2010 17:00",1952
"01/03/2010 18:00",1967
"01/03/2010 19:00",1958
"01/03/2010 20:00",2067
"01/03/2010 21:00",1881
"01/03/2010 22:00",1615
"01/03/2010 23:00",1735
"01/03/2010 00:00",1490
"01/04/2010 01:00",1770
"01/04/2010 02:00",926
"01/04/2010 03:00",700
"01/04/2010 04:00",680
"01/04/2010 05:00",755
"01/04/2010 06:00",1732
"01/04/2010 07:00",2318
"01/04/2010 08:00",2218
"01/04/2010 09:00",2230
"01/04/2010 10:00",2275
"01/04/2010 11:00",2220
"01/04/2010 12:00",1995
"01/04/2010 13:00",2003
"01/04/2010 14:00",1603
"01/04/2010 15:00",1349
"01/04/2010 16:00",1342
"01/04/2010 17:00",1741
"01/04/2010 18:00",2119
"01/04/2010 19:00",2163
"01/04/2010 20:00",2236
"01/04/2010 21:00",2219
"01/04/2010 22:00",1954
"01/04/2010 23:00",1674
"01/04/2010 00:00",1553
"01/05/2010 01:00",1286
"01/05/2010 02:00",437
"01/05/2010 03:00",312
"01/05/2010 04:00",587
"01/05/2010 05:00",885
"01/05/2010 06:00",1541
"01/05/2010 07:00",2119
"01/05/2010 08:00",2307
"01/05/2010 09:00",2295
"01/05/2010 10:00",2291
"01/05/2010 11:00",2244
"01/05/2010 12:00",2615
"01/05/2010 13:00",2251
"01/05/2010 14:00",1614
"01/05/2010 15:00",1227
"01/05/2010 16:00",1201
"01/05/2010 17:00",1478
"01/05/2010 18:00",2062
"01/05/2010 19:00",2128
"01/05/2010 20:00",2241
"01/05/2010 21:00",1969
"01/05/2010 22:00",1506
"01/05/2010 23:00",1528
"01/05/2010 00:00",1693
"01/06/2010 01:00",1045
"01/06/2010 02:00",775
"01/06/2010 03:00",672
"01/06/2010 04:00",709
"01/06/2010 05:00",682
"01/06/2010 06:00",605
"01/06/2010 07:00",722
"01/06/2010 08:00",723
"01/06/2010 09:00",920
"01/06/2010 10:00",1168
"01/06/2010 11:00",1229
"01/06/2010 12:00",1120
"01/06/2010 13:00",1357
"01/06/2010 14:00",1446
"01/06/2010 15:00",1130
"01/06/2010 16:00",1041
"01/06/2010 17:00",1584
"01/06/2010 18:00",2186
"01/06/2010 19:00",2332
"01/06/2010 20:00",2238
"01/06/2010 21:00",2369
"01/06/2010 22:00",1911
"01/06/2010 23:00",1568
"01/06/2010 00:00",1490
"01/07/2010 01:00",1326
"01/07/2010 02:00",711
"01/07/2010 03:00",296
"01/07/2010 04:00",506
"01/07/2010 05:00",714
"01/07/2010 06:00",850
"01/07/2010 07:00",1150
"01/07/2010 08:00",1134
"01/07/2010 09:00",1473
"01/07/2010 10:00",1689
"01/07/2010 11:00",1656
"01/07/2010 12:00",1806
"01/07/2010 13:00",1807
"01/07/2010 14:00",1469
"01/07/2010 15:00",1177
"01/07/2010 16:00",1456
