"DATETIME","Value"
"01/01/2010 01:00",2974
"01/01/2010 02:00",3000
"01/01/2010 03:00",3024
"01/01/2010 04:00",3005
"01/01/2010 05:00",3010
"01/01/2010 06:00",3025
"01/01/2010 07:00",2955
"01/01/2010 08:00",3052
"01/01/2010 09:00",3003
"01/01/2010 10:00",2991
"01/01/2010 11:00",2950
"01/01/2010 12:00",2933
"01/01/2010 13:00",2897
"01/01/2010 14:00",2889
"01/01/2010 15:00",2889
"01/01/2010 16:00",2900
"01/01/2010 17:00",2938
"01/01/2010 18:00",2954
"01/01/2010 19:00",2952
"01/01/2010 20:00",2934
"01/01/2010 21:00",2891
"01/01/2010 22:00",2862
"01/01/2010 23:00",2805
"01/01/2010 00:00",2811
"01/02/2010 01:00",2856
"01/02/2010 02:00",2891
"01/02/2010 03:00",2945
"01/02/2010 04:00",2950
"01/02/2010 05:00",2969
"01/02/2010 06:00",2974
"01/02/2010 07:00",2984
"01/02/2010 08:00",2963
"01/02/2010 09:00",2960
"01/02/2010 10:00",2937
"01/02/2010 11:00",2955
"01/02/2010 12:00",2938
"01/02/2010 13:00",2934
"01/02/2010 14:00",2934
"01/02/2010 15:00",2934
"01/02/2010 16:00",2941
"01/02/2010 17:00",2952
"01/02/2010 18:00",2957
"01/02/2010 19:00",2969
"01/02/2010 20:00",2943
"01/02/2010 21:00",2932
"01/02/2010 22:00",2931
"01/02/2010 23:00",2910
"01/02/2010 00:00",2935
"01/03/2010 01:00",2906
"01/03/2010 02:00",2915
"01/03/2010 03:00",2929
"01/03/2010 04:00",2898
"01/03/2010 05:00",2893
"01/03/2010 06:00",2893
"01/03/2010 07:00",2925
"01/03/2010 08:00",2923
"01/03/2010 09:00",2942
"01/03/2010 10:00",2935
"01/03/2010 11:00",3004
"01/03/2010 12:00",3215
"01/03/2010 13:00",2913
"01/03/2010 14:00",3112
"01/03/2010 15:00",3144
"01/03/2010 16:00",3128
"01/03/2010 17:00",3018
"01/03/2010 18:00",3131
"01/03/2010 19:00",3153
"01/03/2010 20:00",3162
"01/03/2010 21:00",3177
"01/03/2010 22:00",3165
"01/03/2010 23:00",3157
"01/03/2010 00:00",3172
"01/04/2010 01:00",3162
"01/04/2010 02:00",3172
"01/04/2010 03:00",3163
"01/04/2010 04:00",3167
"01/04/2010 05:00",3175
"01/04/2010 06:00",3196
"01/04/2010 07:00",3086
"01/04/2010 08:00",3136
"01/04/2010 09:00",3093
"01/04/2010 10:00",3151
"01/04/2010 11:00",3214
"01/04/2010 12:00",3179
"01/04/2010 13:00",3116
"01/04/2010 14:00",3176
"01/04/2010 15:00",3231
"01/04/2010 16:00",3184
"01/04/2010 17:00",3162
"01/04/2010 18:00",3074
"01/04/2010 19:00",3067
"01/04/2010 20:00",3032
"01/04/2010 21:00",3034
"01/04/2010 22:00",3060
"01/04/2010 23:00",3087
"01/04/2010 00:00",3136
"01/05/2010 01:00",3106
"01/05/2010 02:00",3120
"01/05/2010 03:00",3110
"01/05/2010 04:00",3115
"01/05/2010 05:00",3131
"01/05/2010 06:00",3139
"01/05/2010 07:00",3143
"01/05/2010 08:00",3139
"01/05/2010 09:00",3125
"01/05/2010 10:00",3145
"01/05/2010 11:00",3162
"01/05/2010 12:00",3143
"01/05/2010 13:00",3231
"01/05/2010 14:00",3244
"01/05/2010 15:00",3237
"01/05/2010 16:00",3235
"01/05/2010 17:00",3222
"01/05/2010 18:00",3224
"01/05/2010 19:00",3235
"01/05/2010 20:00",3217
"01/05/2010 21:00",3162
"01/05/2010 22:00",3158
"01/05/2010 23:00",3135
"01/05/2010 00:00",3131
"01/06/2010 01:00",2861
"01/06/2010 02:00",2856
"01/06/2010 03:00",2844
"01/06/2010 04:00",2842
"01/06/2010 05:00",2820
"01/06/2010 06:00",2812
"01/06/2010 07:00",2821
"01/06/2010 08:00",2795
"01/06/2010 09:00",2833
"01/06/2010 10:00",2836
"01/06/2010 11:00",2849
"01/06/2010 12:00",2848
"01/06/2010 13:00",2801
"01/06/2010 14:00",2805
"01/06/2010 15:00",2784
"01/06/2010 16:00",2818
"01/06/2010 17:00",2823
"01/06/2010 18:00",2805
"01/06/2010 19:00",2862
"01/06/2010 20:00",2946
"01/06/2010 21:00",2946
"01/06/2010 22:00",2967
"01/06/2010 23:00",2951
"01/06/2010 00:00",2889
"01/07/2010 01:00",2955
"01/07/2010 02:00",2936
"01/07/2010 03:00",2920
"01/07/2010 04:00",2944
"01/07/2010 05:00",2947
"01/07/2010 06:00",2941
"01/07/2010 07:00",2958
"01/07/2010 08:00",2939
"01/07/2010 09:00",2975
"01/07/2010 10:00",2974
"01/07/2010 11:00",2983
"01/07/2010 12:00",2977
"01/07/2010 13:00",2965
"01/07/2010 14:00",2977
"01/07/2010 15:00",2983
"01/07/2010 16:00",3025
"01/07/2010 17:00",3010
"01/07/2010 18:00",2991
"01/07/2010 19:00",2965
"01/07/2010 20:00",2950
"01/07/2010 21:00",2948
"01/07/2010 22:00",2949
"01/07/2010 23:00",2925
"01/07/2010 00:00",2963
"01/08/2010 01:00",2974
"01/08/2010 02:00",3000
"01/08/2010 03:00",3024
"01/08/2010 04:00",3005
"01/08/2010 05:00",3010
"01/08/2010 06:00",3025
"01/08/2010 07:00",2955
"01/08/2010 08:00",3052
"01/08/2010 09:00",3003
"01/08/2010 10:00",2991
"01/08/2010 11:00",2950
"01/08/2010 12:00",2933
"01/08/2010 13:00",2897
"01/08/2010 14:00",2889
"01/08/2010 15:00",2889
"01/08/2010 16:00",2900
"01/08/2010 17:00",2938
"01/08/2010 18:00",2954
"01/08/2010 19:00",2952
"01/08/2010 20:00",2934
"01/08/2010 21:00",2891
"01/08/2010 22:00",2862
"01/08/2010 23:00",2805
"01/08/2010 00:00",2811
"01/09/2010 01:00",2856
"01/09/2010 02:00",2891
"01/09/2010 03:00",2945
"01/09/2010 04:00",2950
"01/09/2010 05:00",2969
"01/09/2010 06:00",2974
"01/09/2010 07:00",2984
"01/09/2010 08:00",2963
"01/09/2010 09:00",2960
"01/09/2010 10:00",2937
"01/09/2010 11:00",2955
"01/09/2010 12:00",2938
"01/09/2010 13:00",2934
"01/09/2010 14:00",2934
"01/09/2010 15:00",2934
"01/09/2010 16:00",2941
"01/09/2010 17:00",2952
"01/09/2010 18:00",2957
"01/09/2010 19:00",2969
"01/09/2010 20:00",2943
"01/09/2010 21:00",2932
"01/09/2010 22:00",2931
"01/09/2010 23:00",2910
"01/09/2010 00:00",2935
"01/10/2010 01:00",2906
"01/10/2010 02:00",2915
"01/10/2010 03:00",2929
"01/10/2010 04:00",2898
"01/10/2010 05:00",2893
"01/10/2010 06:00",2893
"01/10/2010 07:00",2925
"01/10/2010 08:00",2923
"01/10/2010 09:00",2942
"01/10/2010 10:00",2935
"01/10/2010 11:00",3004
"01/10/2010 12:00",3215
"01/10/2010 13:00",2913
"01/10/2010 14:00",3112
"01/10/2010 15:00",3144
"01/10/2010 16:00",3128
"01/10/2010 17:00",3018
"01/10/2010 18:00",3131
"01/10/2010 19:00",3153
