"DATETIME","Value"
"01/01/2010 01:00",4427
"01/01/2010 02:00",2942
"01/01/2010 03:00",2941
"01/01/2010 04:00",2927
"01/01/2010 05:00",2847
"01/01/2010 06:00",4458
"01/01/2010 07:00",4414
"01/01/2010 08:00",4419
"01/01/2010 09:00",4408
"01/01/2010 10:00",4470
"01/01/2010 11:00",4618
"01/01/2010 12:00",4640
"01/01/2010 13:00",4649
"01/01/2010 14:00",4651
"01/01/2010 15:00",4671
"01/01/2010 16:00",4669
"01/01/2010 17:00",4674
"01/01/2010 18:00",4675
"01/01/2010 19:00",4694
"01/01/2010 20:00",4678
"01/01/2010 21:00",4680
"01/01/2010 22:00",4652
"01/01/2010 23:00",4561
"01/01/2010 00:00",4656
"01/02/2010 01:00",4208
"01/02/2010 02:00",2791
"01/02/2010 03:00",2820
"01/02/2010 04:00",2816
"01/02/2010 05:00",3568
"01/02/2010 06:00",3819
"01/02/2010 07:00",4648
"01/02/2010 08:00",4645
"01/02/2010 09:00",4640
"01/02/2010 10:00",4684
"01/02/2010 11:00",4661
"01/02/2010 12:00",4676
"01/02/2010 13:00",4672
"01/02/2010 14:00",4647
"01/02/2010 15:00",4699
"01/02/2010 16:00",4696
"01/02/2010 17:00",4695
"01/02/2010 18:00",4712
"01/02/2010 19:00",4692
"01/02/2010 20:00",4681
"01/02/2010 21:00",4664
"01/02/2010 22:00",4669
"01/02/2010 23:00",4607
"01/02/2010 00:00",4651
"01/03/2010 01:00",4249
"01/03/2010 02:00",2752
"01/03/2010 03:00",2760
"01/03/2010 04:00",2773
"01/03/2010 05:00",2727
"01/03/2010 06:00",4265
"01/03/2010 07:00",4647
"01/03/2010 08:00",4666
"01/03/2010 09:00",4667
"01/03/2010 10:00",4711
"01/03/2010 11:00",4712
"01/03/2010 12:00",4680
"01/03/2010 13:00",4702
"01/03/2010 14:00",4686
"01/03/2010 15:00",4677
"01/03/2010 16:00",4708
"01/03/2010 17:00",4717
"01/03/2010 18:00",4710
"01/03/2010 19:00",4676
"01/03/2010 20:00",4702
"01/03/2010 21:00",4701
"01/03/2010 22:00",4700
"01/03/2010 23:00",4635
"01/03/2010 00:00",4648
"01/04/2010 01:00",4310
"01/04/2010 02:00",2775
"01/04/2010 03:00",2751
"01/04/2010 04:00",2767
"01/04/2010 05:00",2728
"01/04/2010 06:00",2750
"01/04/2010 07:00",4252
"01/04/2010 08:00",4628
"01/04/2010 09:00",4602
"01/04/2010 10:00",4649
"01/04/2010 11:00",4596
"01/04/2010 12:00",4613
"01/04/2010 13:00",4602
"01/04/2010 14:00",4643
"01/04/2010 15:00",4646
"01/04/2010 16:00",4633
"01/04/2010 17:00",4631
"01/04/2010 18:00",4641
"01/04/2010 19:00",4649
"01/04/2010 20:00",4628
"01/04/2010 21:00",4624
"01/04/2010 22:00",4724
"01/04/2010 23:00",4641
"01/04/2010 00:00",4620
"01/05/2010 01:00",3730
"01/05/2010 02:00",2692
"01/05/2010 03:00",2707
"01/05/2010 04:00",2719
"01/05/2010 05:00",2673
"01/05/2010 06:00",4459
"01/05/2010 07:00",4653
"01/05/2010 08:00",4651
"01/05/2010 09:00",4646
"01/05/2010 10:00",4653
"01/05/2010 11:00",4645
"01/05/2010 12:00",4582
"01/05/2010 13:00",4705
"01/05/2010 14:00",4717
"01/05/2010 15:00",4703
"01/05/2010 16:00",4706
"01/05/2010 17:00",4696
"01/05/2010 18:00",4635
"01/05/2010 19:00",4673
"01/05/2010 20:00",4659
"01/05/2010 21:00",4702
"01/05/2010 22:00",4697
"01/05/2010 23:00",4681
"01/05/2010 00:00",4726
"01/06/2010 01:00",3579
"01/06/2010 02:00",2942
"01/06/2010 03:00",2931
"01/06/2010 04:00",2967
"01/06/2010 05:00",2923
"01/06/2010 06:00",4386
"01/06/2010 07:00",4517
"01/06/2010 08:00",4438
"01/06/2010 09:00",4436
"01/06/2010 10:00",4444
"01/06/2010 11:00",4438
"01/06/2010 12:00",4417
"01/06/2010 13:00",4430
"01/06/2010 14:00",4402
"01/06/2010 15:00",4417
"01/06/2010 16:00",4430
"01/06/2010 17:00",4401
"01/06/2010 18:00",4392
"01/06/2010 19:00",4477
"01/06/2010 20:00",4427
"01/06/2010 21:00",4474
"01/06/2010 22:00",4464
"01/06/2010 23:00",4474
"01/06/2010 00:00",4476
"01/07/2010 01:00",3735
"01/07/2010 02:00",2894
"01/07/2010 03:00",2903
"01/07/2010 04:00",2921
"01/07/2010 05:00",2906
"01/07/2010 06:00",4450
"01/07/2010 07:00",4418
"01/07/2010 08:00",4413
"01/07/2010 09:00",4437
"01/07/2010 10:00",4663
"01/07/2010 11:00",4657
"01/07/2010 12:00",4652
"01/07/2010 13:00",4612
"01/07/2010 14:00",4655
"01/07/2010 15:00",4648
"01/07/2010 16:00",4655
"01/07/2010 17:00",4645
"01/07/2010 18:00",4669
"01/07/2010 19:00",4650
"01/07/2010 20:00",4857
"01/07/2010 21:00",4852
"01/07/2010 22:00",4862
"01/07/2010 23:00",4864
"01/07/2010 00:00",4847
"01/08/2010 01:00",4427
"01/08/2010 02:00",2942
"01/08/2010 03:00",2941
"01/08/2010 04:00",2927
"01/08/2010 05:00",2847
"01/08/2010 06:00",4458
"01/08/2010 07:00",4414
"01/08/2010 08:00",4419
"01/08/2010 09:00",4408
"01/08/2010 10:00",4470
"01/08/2010 11:00",4618
"01/08/2010 12:00",4640
"01/08/2010 13:00",4649
"01/08/2010 14:00",4651
"01/08/2010 15:00",4671
"01/08/2010 16:00",4669
"01/08/2010 17:00",4674
"01/08/2010 18:00",4675
"01/08/2010 19:00",4694
"01/08/2010 20:00",4678
"01/08/2010 21:00",4680
"01/08/2010 22:00",4652
"01/08/2010 23:00",4561
"01/08/2010 00:00",4656
"01/09/2010 01:00",4208
"01/09/2010 02:00",2791
"01/09/2010 03:00",2820
"01/09/2010 04:00",2816
"01/09/2010 05:00",3568
"01/09/2010 06:00",3819
"01/09/2010 07:00",4648
"01/09/2010 08:00",4645
"01/09/2010 09:00",4640
"01/09/2010 10:00",4684
"01/09/2010 11:00",4661
"01/09/2010 12:00",4676
"01/09/2010 13:00",4672
"01/09/2010 14:00",4647
"01/09/2010 15:00",4699
"01/09/2010 16:00",4696
"01/09/2010 17:00",4695
"01/09/2010 18:00",4712
"01/09/2010 19:00",4692
"01/09/2010 20:00",4681
"01/09/2010 21:00",4664
"01/09/2010 22:00",4669
"01/09/2010 23:00",4607
"01/09/2010 00:00",4651
"01/10/2010 01:00",4249
"01/10/2010 02:00",2752
"01/10/2010 03:00",2760
"01/10/2010 04:00",2773
"01/10/2010 05:00",2727
"01/10/2010 06:00",4265
"01/10/2010 07:00",4647
"01/10/2010 08:00",4666
"01/10/2010 09:00",4667
"01/10/2010 10:00",4711
"01/10/2010 11:00",4712
"01/10/2010 12:00",4680
"01/10/2010 13:00",4702
"01/10/2010 14:00",4686
"01/10/2010 15:00",4677
"01/10/2010 16:00",4708
"01/10/2010 17:00",4717
"01/10/2010 18:00",4710
"01/10/2010 19:00",4676
"01/10/2010 20:00",4702
"01/10/2010 21:00",4701
"01/10/2010 22:00",4700
"01/10/2010 23:00",4635
"01/10/2010 00:00",4648
"01/11/2010 01:00",4310
"01/11/2010 02:00",2775
"01/11/2010 03:00",2751
"01/11/2010 04:00",2767
"01/11/2010 05:00",2728
"01/11/2010 06:00",2750
"01/11/2010 07:00",4252
"01/11/2010 08:00",4628
"01/11/2010 09:00",4602
"01/11/2010 10:00",4649
"01/11/2010 11:00",4596
"01/11/2010 12:00",4613
"01/11/2010 13:00",4602
"01/11/2010 14:00",4643
"01/11/2010 15:00",4646
"01/11/2010 16:00",4633
"01/11/2010 17:00",4631
"01/11/2010 18:00",4641
"01/11/2010 19:00",4649
"01/11/2010 20:00",4628
"01/11/2010 21:00",4624
"01/11/2010 22:00",4724
"01/11/2010 23:00",4641
"01/11/2010 00:00",4620
"01/12/2010 01:00",3730
"01/12/2010 02:00",2692
"01/12/2010 03:00",2707
"01/12/2010 04:00",2719
"01/12/2010 05:00",2673
"01/12/2010 06:00",4459
"01/12/2010 07:00",4653
"01/12/2010 08:00",4651
"01/12/2010 09:00",4646
"01/12/2010 10:00",4653
"01/12/2010 11:00",4645
"01/12/2010 12:00",4582
"01/12/2010 13:00",4705
"01/12/2010 14:00",4717
"01/12/2010 15:00",4703
"01/12/2010 16:00",4706
"01/12/2010 17:00",4696
"01/12/2010 18:00",4635
"01/12/2010 19:00",4673
"01/12/2010 20:00",4659
"01/12/2010 21:00",4702
"01/12/2010 22:00",4697
"01/12/2010 23:00",4681
"01/12/2010 00:00",4726
"01/13/2010 01:00",3756
"01/13/2010 02:00",2774
"01/13/2010 03:00",2738
"01/13/2010 04:00",2752
"01/13/2010 05:00",2788
"01/13/2010 06:00",4297
"01/13/2010 07:00",4721
"01/13/2010 08:00",4715
"01/13/2010 09:00",4722
"01/13/2010 10:00",4724
"01/13/2010 11:00",4644
"01/13/2010 12:00",4694
"01/13/2010 13:00",4675
"01/13/2010 14:00",4676
"01/13/2010 15:00",4699
"01/13/2010 16:00",4739
"01/13/2010 17:00",4697
"01/13/2010 18:00",4708
"01/13/2010 19:00",4687
"01/13/2010 20:00",4676
"01/13/2010 21:00",4715
"01/13/2010 22:00",4719
"01/13/2010 23:00",4708
"01/13/2010 00:00",4694
"01/14/2010 01:00",4306
"01/14/2010 02:00",2757
"01/14/2010 03:00",2782
"01/14/2010 04:00",2782
"01/14/2010 05:00",2796
"01/14/2010 06:00",4562
"01/14/2010 07:00",4638
"01/14/2010 08:00",4656
"01/14/2010 09:00",4631
"01/14/2010 10:00",4705
"01/14/2010 11:00",4670
"01/14/2010 12:00",4685
"01/14/2010 13:00",4705
"01/14/2010 14:00",4666
"01/14/2010 15:00",4647
"01/14/2010 16:00",4697
"01/14/2010 17:00",4657
"01/14/2010 18:00",4646
"01/14/2010 19:00",4658
"01/14/2010 20:00",4646
"01/14/2010 21:00",4688
"01/14/2010 22:00",4688
"01/14/2010 23:00",4608
"01/14/2010 00:00",4655
"01/15/2010 01:00",3535
"01/15/2010 02:00",2743
"01/15/2010 03:00",2759
"01/15/2010 04:00",2728
"01/15/2010 05:00",2695
"01/15/2010 06:00",4201
"01/15/2010 07:00",4678
"01/15/2010 08:00",4710
"01/15/2010 09:00",4674
"01/15/2010 10:00",4714
"01/15/2010 11:00",4719
"01/15/2010 12:00",4712
"01/15/2010 13:00",4672
"01/15/2010 14:00",4701
"01/15/2010 15:00",4712
"01/15/2010 16:00",4686
"01/15/2010 17:00",4704
"01/15/2010 18:00",4723
"01/15/2010 19:00",4708
"01/15/2010 20:00",4701
"01/15/2010 21:00",4663
"01/15/2010 22:00",4633
"01/15/2010 23:00",4193
"01/15/2010 00:00",2754
"01/16/2010 01:00",2695
"01/16/2010 02:00",2748
"01/16/2010 03:00",2803
"01/16/2010 04:00",2777
"01/16/2010 05:00",2757
"01/16/2010 06:00",4656
"01/16/2010 07:00",4620
"01/16/2010 08:00",4695
"01/16/2010 09:00",4683
"01/16/2010 10:00",4747
"01/16/2010 11:00",4725
"01/16/2010 12:00",4751
