"DATETIME","Value"
"01/01/2010 01:00",602
"01/01/2010 02:00",663
"01/01/2010 03:00",723
"01/01/2010 04:00",663
"01/01/2010 05:00",602
"01/01/2010 06:00",602
"01/01/2010 07:00",602
"01/01/2010 08:00",542
"01/01/2010 09:00",1566
"01/01/2010 10:00",6024
"01/01/2010 11:00",6145
"01/01/2010 12:00",6024
"01/01/2010 13:00",6084
"01/01/2010 14:00",6084
"01/01/2010 15:00",6084
"01/01/2010 16:00",6024
"01/01/2010 17:00",6084
"01/01/2010 18:00",6024
"01/01/2010 19:00",5964
"01/01/2010 20:00",6024
"01/01/2010 21:00",5964
"01/01/2010 22:00",6024
"01/01/2010 23:00",4639
"01/01/2010 00:00",663
"01/02/2010 01:00",4036
"01/02/2010 02:00",663
"01/02/2010 03:00",663
"01/02/2010 04:00",2892
"01/02/2010 05:00",602
"01/02/2010 06:00",602
"01/02/2010 07:00",663
"01/02/2010 08:00",663
"01/02/2010 09:00",1687
"01/02/2010 10:00",6084
"01/02/2010 11:00",5964
"01/02/2010 12:00",6024
"01/02/2010 13:00",6024
"01/02/2010 14:00",6446
"01/02/2010 15:00",1265
"01/02/2010 16:00",542
"01/02/2010 17:00",1928
"01/02/2010 18:00",6024
"01/02/2010 19:00",6084
"01/02/2010 20:00",3976
"01/02/2010 21:00",6024
"01/02/2010 22:00",6024
"01/02/2010 23:00",4759
"01/02/2010 00:00",602
"01/03/2010 01:00",663
"01/03/2010 02:00",602
"01/03/2010 03:00",602
"01/03/2010 04:00",602
"01/03/2010 05:00",663
"01/03/2010 06:00",602
"01/03/2010 07:00",602
"01/03/2010 08:00",663
"01/03/2010 09:00",663
"01/03/2010 10:00",4518
"01/03/2010 11:00",6024
"01/03/2010 12:00",6024
"01/03/2010 13:00",6024
"01/03/2010 14:00",6024
"01/03/2010 15:00",6024
"01/03/2010 16:00",2892
"01/03/2010 17:00",602
"01/03/2010 18:00",5843
"01/03/2010 19:00",6024
"01/03/2010 20:00",5964
"01/03/2010 21:00",7952
"01/03/2010 22:00",6024
"01/03/2010 23:00",7892
"01/03/2010 00:00",5361
"01/04/2010 01:00",663
"01/04/2010 02:00",602
"01/04/2010 03:00",602
"01/04/2010 04:00",663
"01/04/2010 05:00",602
"01/04/2010 06:00",602
"01/04/2010 07:00",602
"01/04/2010 08:00",602
"01/04/2010 09:00",602
"01/04/2010 10:00",2590
"01/04/2010 11:00",4699
"01/04/2010 12:00",4819
"01/04/2010 13:00",4880
"01/04/2010 14:00",4819
"01/04/2010 15:00",2651
"01/04/2010 16:00",1807
"01/04/2010 17:00",4398
"01/04/2010 18:00",3976
"01/04/2010 19:00",6024
"01/04/2010 20:00",4458
"01/04/2010 21:00",602
"01/04/2010 22:00",2711
"01/04/2010 23:00",602
"01/04/2010 00:00",602
"01/05/2010 01:00",663
"01/05/2010 02:00",602
"01/05/2010 03:00",663
"01/05/2010 04:00",663
"01/05/2010 05:00",663
"01/05/2010 06:00",663
"01/05/2010 07:00",663
"01/05/2010 08:00",602
"01/05/2010 09:00",723
"01/05/2010 10:00",602
"01/05/2010 11:00",663
"01/05/2010 12:00",602
"01/05/2010 13:00",723
"01/05/2010 14:00",663
"01/05/2010 15:00",602
"01/05/2010 16:00",723
"01/05/2010 17:00",663
"01/05/2010 18:00",602
"01/05/2010 19:00",663
"01/05/2010 20:00",542
"01/05/2010 21:00",602
"01/05/2010 22:00",663
"01/05/2010 23:00",1566
"01/05/2010 00:00",1265
"01/06/2010 01:00",6024
"01/06/2010 02:00",783
"01/06/2010 03:00",602
"01/06/2010 04:00",663
"01/06/2010 05:00",602
"01/06/2010 06:00",663
"01/06/2010 07:00",602
"01/06/2010 08:00",663
"01/06/2010 09:00",602
"01/06/2010 10:00",602
"01/06/2010 11:00",602
"01/06/2010 12:00",542
"01/06/2010 13:00",602
"01/06/2010 14:00",663
"01/06/2010 15:00",602
"01/06/2010 16:00",663
"01/06/2010 17:00",723
"01/06/2010 18:00",6024
"01/06/2010 19:00",6024
"01/06/2010 20:00",6024
"01/06/2010 21:00",6024
"01/06/2010 22:00",6024
"01/06/2010 23:00",6024
"01/06/2010 00:00",6024
"01/07/2010 01:00",1928
"01/07/2010 02:00",663
"01/07/2010 03:00",602
"01/07/2010 04:00",723
"01/07/2010 05:00",602
"01/07/2010 06:00",663
"01/07/2010 07:00",663
"01/07/2010 08:00",602
"01/07/2010 09:00",663
"01/07/2010 10:00",663
"01/07/2010 11:00",663
"01/07/2010 12:00",602
"01/07/2010 13:00",843
"01/07/2010 14:00",7530
"01/07/2010 15:00",8373
"01/07/2010 16:00",8434
"01/07/2010 17:00",3675
"01/07/2010 18:00",6024
"01/07/2010 19:00",6024
"01/07/2010 20:00",5964
"01/07/2010 21:00",6024
"01/07/2010 22:00",5964
"01/07/2010 23:00",3253
