name,category,M1,M10,M11,M12,M2,M3,M4,M5,M6,M7,M8,M9
Aberfeldie2-1,Hydro,7.949999809,7.949999809,7.949999809,7.949999809,7.949999809,7.949999809,7.949999809,7.949999809,7.949999809,7.949999809,7.949999809,7.949999809
Aberfeldie2-2,Hydro,7.949999809,7.949999809,7.949999809,7.949999809,7.949999809,7.949999809,7.949999809,7.949999809,7.949999809,7.949999809,7.949999809,7.949999809
Aberfeldie2-3,Hydro,7.949999809,7.949999809,7.949999809,7.949999809,7.949999809,7.949999809,7.949999809,7.949999809,7.949999809,7.949999809,7.949999809,7.949999809
Abiquiu1,Hydro_ZeroK,6.900000095,6.900000095,6.900000095,6.900000095,6.900000095,6.900000095,6.900000095,6.900000095,6.900000095,6.900000095,6.900000095,6.900000095
Abiquiu2,Hydro_ZeroK,6.900000095,6.900000095,6.900000095,6.900000095,6.900000095,6.900000095,6.900000095,6.900000095,6.900000095,6.900000095,6.900000095,6.900000095
AGWishon1,LCGS_CA_hydro,6.699999809,4,3.529999971,1.960000038,5.619999886,6.130000114,5.449999809,5.21999979,5.639999866,4.739999771,4.929999828,3.920000076
AGWishon2,LCGS_CA_hydro,6.699999809,4,3.529999971,1.960000038,5.619999886,6.130000114,5.449999809,5.21999979,5.639999866,4.739999771,4.929999828,3.920000076
AGWishon3,LCGS_CA_hydro,6.699999809,4,3.529999971,1.960000038,5.619999886,6.130000114,5.449999809,5.21999979,5.639999866,4.739999771,4.929999828,3.920000076
AGWishon4,LCGS_CA_hydro,6.699999809,4,3.529999971,1.960000038,5.619999886,6.130000114,5.449999809,5.21999979,5.639999866,4.739999771,4.929999828,3.920000076
Akolkolex,Hydro_ZeroK,9.890000343,9.890000343,9.890000343,9.890000343,9.890000343,9.890000343,9.890000343,9.890000343,9.890000343,9.890000343,9.890000343,9.890000343
Alamo_1,Hydro_FixedDispatch,7.940000057,9.06000042,8.819999695,7.769999981,8.920000076,9.140000343,9.350000381,11.73999977,11.77000046,11.93000031,10.94999981,8.850000381
AlbeniFalls1,Hydro_FixedDispatch,10.89999962,13.53999996,13.21000004,10.56999969,9.25,9.579999924,11.56000042,16.18000031,15.85000038,16.84000015,10.56999969,11.56000042
AlbeniFalls2,Hydro_FixedDispatch,10.89999962,13.53999996,13.21000004,10.56999969,9.25,9.579999924,11.56000042,16.18000031,15.85000038,16.84000015,10.56999969,11.56000042
AlbeniFalls3,Hydro_FixedDispatch,10.89999962,13.53999996,13.21000004,10.56999969,9.25,9.579999924,11.56000042,16.18000031,15.85000038,16.84000015,10.56999969,11.56000042
Alcova1,Hydro_FixedDispatch,3,5.5,4,3.5,8,18,6,18,18.5,15.5,15,9
Alcova2,Hydro_FixedDispatch,3,5.5,4,3.5,8,18,6,18,18.5,15.5,15,9
Alder11,Hydro,25,25,25,25,25,25,25,25,25,25,25,25
Alder12,Hydro,25,25,25,25,25,25,25,25,25,25,25,25
Alouette,Hydro,8.93999958,8.93999958,8.93999958,8.93999958,8.93999958,8.93999958,8.93999958,8.93999958,8.93999958,8.93999958,8.93999958,8.93999958
Alta_PH1,Hydro_ZeroK,0.289999992,0.25,0.230000004,0.239999995,0.319999993,0.319999993,0.389999986,0.519999981,0.529999971,0.50999999,0.449999988,0.330000013
Alta_PH2,Hydro_ZeroK,0.289999992,0.25,0.230000004,0.239999995,0.319999993,0.319999993,0.389999986,0.519999981,0.529999971,0.50999999,0.449999988,0.330000013
AmericanFalls1,Hydro,30.78000069,30.78000069,30.78000069,30.78000069,30.78000069,30.78000069,30.78000069,30.78000069,30.78000069,30.78000069,30.78000069,30.78000069
AmericanFalls2,Hydro,30.78000069,30.78000069,30.78000069,30.78000069,30.78000069,30.78000069,30.78000069,30.78000069,30.78000069,30.78000069,30.78000069,30.78000069
AmericanFalls3,Hydro,30.78000069,30.78000069,30.78000069,30.78000069,30.78000069,30.78000069,30.78000069,30.78000069,30.78000069,30.78000069,30.78000069,30.78000069
AmesHydro,Hydro_ZeroK,3.599999905,3.599999905,3.599999905,3.599999905,3.599999905,3.599999905,3.599999905,3.599999905,3.599999905,3.599999905,3.599999905,3.599999905
AndersonRanch1,Hydro_ZeroK,20,20,20,20,20,20,20,20,20,20,20,20
AndersonRanch2,Hydro_ZeroK,20,20,20,20,20,20,20,20,20,20,20,20
Angels,LCGS_CA_hydro,0.409999996,0.349999994,0.330000013,0.330000013,0.449999988,0.439999998,0.550000012,0.720000029,0.74000001,0.720000029,0.629999995,0.469999999
ArenaDrop,Hydro_ZeroK,0.449999988,0.449999988,0.449999988,0.449999988,0.449999988,0.449999988,0.449999988,0.449999988,0.449999988,0.449999988,0.449999988,0.449999988
ArizonaFalls,Hydro_ZeroK,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
Arrow_Lake1,Hydro_ZeroK,101.7200012,101.7200012,101.7200012,101.7200012,101.7200012,101.7200012,101.7200012,101.7200012,101.7200012,101.7200012,101.7200012,101.7200012
Arrow_Lake2,Hydro_ZeroK,101.7200012,101.7200012,101.7200012,101.7200012,101.7200012,101.7200012,101.7200012,101.7200012,101.7200012,101.7200012,101.7200012,101.7200012
Ash_River_1,Hydro,27.81999969,27.81999969,27.81999969,27.81999969,27.81999969,27.81999969,27.81999969,27.81999969,27.81999969,27.81999969,27.81999969,27.81999969
Ashlu_Creek_1,Hydro_ZeroK,16.44000053,16.44000053,16.44000053,16.44000053,16.44000053,16.44000053,16.44000053,16.44000053,16.44000053,16.44000053,16.44000053,16.44000053
Ashlu_Creek_2,Hydro_ZeroK,16.44000053,16.44000053,16.44000053,16.44000053,16.44000053,16.44000053,16.44000053,16.44000053,16.44000053,16.44000053,16.44000053,16.44000053
Ashlu_Creek_3,Hydro_ZeroK,16.44000053,16.44000053,16.44000053,16.44000053,16.44000053,16.44000053,16.44000053,16.44000053,16.44000053,16.44000053,16.44000053,16.44000053
