name,M1,M10,M11,M12,M2,M3,M4,M5,M6,M7,M8,M9
Aberfeldie2-1,0,0,0,0,0,0,0,0,0,0,0,0
Aberfeldie2-2,0,0,0,0,0,0,0,0,0,0,0,0
Aberfeldie2-3,0,0,0,0,0,0,0,0,0,0,0,0
Abiquiu1,0,0,0,0,0,0,0,0,0,0,0,0
Abiquiu2,0,0,0,0,0,0,0,0,0,0,0,0
AGWishon1,0,0,0,0,0,0,0,0,0,0,0,0
AGWishon2,0,0,0,0,0,0,0,0,0,0,0,0
AGWishon3,0,0,0,0,0,0,0,0,0,0,0,0
AGWishon4,0,0,0,0,0,0,0,0,0,0,0,0
Akolkolex,2.130000114,2.130000114,2.130000114,2.130000114,2.130000114,2.130000114,2.130000114,2.130000114,2.130000114,2.130000114,2.130000114,2.130000114
Alamo_1,0,0,0,0,0,0,0,0,0,0,0,0
AlbeniFalls1,0.959999979,2.289999962,1.669999957,1.710000038,1.389999986,1.549999952,0.99000001,1.279999971,0.74000001,2.180000067,2.849999905,2.970000029
AlbeniFalls2,0.959999979,2.289999962,1.669999957,1.710000038,1.389999986,1.549999952,0.99000001,1.279999971,0.74000001,2.180000067,2.849999905,2.970000029
AlbeniFalls3,0.959999979,2.289999962,1.669999957,1.710000038,1.389999986,1.549999952,0.99000001,1.279999971,0.74000001,2.180000067,2.849999905,2.970000029
Alcova1,0,0,0,0,0,0,0,0,0,0,0,0
Alcova2,0,0,0,0,0,0,0,0,0,0,0,0
Alder11,0,0,0,0,0,0,0,0,0,0,0,0
Alder12,0,0,0,0,0,0,0,0,0,0,0,0
Alouette,0,0,0,0,0,0,0,0,0,0,0,0
Alta_PH1,0,0,0,0,0,0,0,0,0,0,0,0
Alta_PH2,0,0,0,0,0,0,0,0,0,0,0,0
AmericanFalls1,0,0,0,0,0,0,0,0,0,0,0,0
AmericanFalls2,0,0,0,0,0,0,0,0,0,0,0,0
AmericanFalls3,0,0,0,0,0,0,0,0,0,0,0,0
AmesHydro,0,0,0,0,0,0,0,0,0,0,0,0
AndersonRanch1,0,0,0,0,0,0,0,0,0,0,0,0
AndersonRanch2,0,0,0,0,0,0,0,0,0,0,0,0
Angels,0,0,0,0,0,0,0,0,0,0,0,0
ArenaDrop,0,0,0,0,0,0,0,0,0,0,0,0
ArizonaFalls,0,0,0,0,0,0,0,0,0,0,0,0
Arrow_Lake1,7.460000038,7.460000038,7.460000038,7.460000038,7.460000038,7.460000038,7.460000038,7.460000038,7.460000038,7.460000038,7.460000038,7.460000038
Arrow_Lake2,7.460000038,7.460000038,7.460000038,7.460000038,7.460000038,7.460000038,7.460000038,7.460000038,7.460000038,7.460000038,7.460000038,7.460000038
Ash_River_1,0,0,0,0,0,0,0,0,0,0,0,0
Ashlu_Creek_1,3.549999952,3.549999952,3.549999952,3.549999952,3.549999952,3.549999952,3.549999952,3.549999952,3.549999952,3.549999952,3.549999952,3.549999952
Ashlu_Creek_2,3.549999952,3.549999952,3.549999952,3.549999952,3.549999952,3.549999952,3.549999952,3.549999952,3.549999952,3.549999952,3.549999952,3.549999952
Ashlu_Creek_3,3.549999952,3.549999952,3.549999952,3.549999952,3.549999952,3.549999952,3.549999952,3.549999952,3.549999952,3.549999952,3.549999952,3.549999952
Azusa,0,0,0,0,0,0,0,0,0,0,0,0
Baker_Station,0,0,0,0,0,0,0,0,0,0,0,0
Balch1-1,0,0,0,0,0,0,0,0,0,0,0,0
Balch2-2,0,0,0,0,0,0,0,0,0,0,0,0
Balch2-3,0,0,0,0,0,0,0,0,0,0,0,0
BarberDamGEN1,0,0,0,0,0,0,0,0,0,0,0,0
Barrier,0,0,0,0,0,0,0,0,0,0,0,0
Bear_Creek,0,0,0,0,0,0,0,0,0,0,0,0
Beardsley_1,0,0,0,0,0,0,0,0,0,0,0,0
Bearspaw_1,0,0,0,0,0,0,0,0,0,0,0,0
Belden_1,0,0,0,0,0,0,0,0,0,0,0,0
Belly_River,0,0,0,0,0,0,0,0,0,0,0,0
Bend1,0,0,0,0,0,0,0,0,0,0,0,0
Bend2,0,0,0,0,0,0,0,0,0,0,0,0
Bend3,0,0,0,0,0,0,0,0,0,0,0,0
Betasso_Hydro,0,0,0,0,0,0,0,0,0,0,0,0
BidwellDitchGEN1,0,0,0,0,0,0,0,0,0,0,0,0
Big_Cliff_1,0,0,0,0,0,0,0,0,0,0,0,0
BigCreek1-1,0,0,0,0,0,0,0,0,0,0,0,0
BigCreek1-2,0,0,0,0,0,0,0,0,0,0,0,0
BigCreek1-3,0,0,0,0,0,0,0,0,0,0,0,0
BigCreek1-4,0,0,0,0,0,0,0,0,0,0,0,0
BigCreek2-3,0,0,0,0,0,0,0,0,0,0,0,0
BigCreek2-4,0,0,0,0,0,0,0,0,0,0,0,0
BigCreek2-5,0,0,0,0,0,0,0,0,0,0,0,0
BigCreek2-6,0,0,0,0,0,0,0,0,0,0,0,0
BigCreek2A-1,0,0,0,0,0,0,0,0,0,0,0,0
BigCreek2A-2,0,0,0,0,0,0,0,0,0,0,0,0
BigCreek3-1,0,0,0,0,0,0,0,0,0,0,0,0
BigCreek3-2,0,0,0,0,0,0,0,0,0,0,0,0
BigCreek3-3,0,0,0,0,0,0,0,0,0,0,0,0
BigCreek3-4,0,0,0,0,0,0,0,0,0,0,0,0
BigCreek3-5,0,0,0,0,0,0,0,0,0,0,0,0
BigCreek4-1,0,0,0,0,0,0,0,0,0,0,0,0
BigCreek4-2,0,0,0,0,0,0,0,0,0,0,0,0
BigCreek8-1,0,0,0,0,0,0,0,0,0,0,0,0
BigCreek8-2,0,0,0,0,0,0,0,0,0,0,0,0
BigCreekWW,0,0,0,0,0,0,0,0,0,0,0,0
Bighorn_1,0,0,0,0,0,0,0,0,0,0,0,0
Bighorn_2,0,0,0,0,0,0,0,0,0,0,0,0
BigPine,0,0,0,0,0,0,0,0,0,0,0,0
BigThompson,0,0,0,0,0,0,0,0,0,0,0,0
BirchCreek1,0,0,0,0,0,0,0,0,0,0,0,0
BishopCreek2-1,0,0,0,0,0,0,0,0,0,0,0,0
BishopCreek2-2,0,0,0,0,0,0,0,0,0,0,0,0
BishopCreek2-3,0,0,0,0,0,0,0,0,0,0,0,0
BishopCreek3-1,0,0,0,0,0,0,0,0,0,0,0,0
BishopCreek3-2,0,0,0,0,0,0,0,0,0,0,0,0
BishopCreek3-3,0,0,0,0,0,0,0,0,0,0,0,0
BishopCreek4-1,0,0,0,0,0,0,0,0,0,0,0,0
BishopCreek4-2,0,0,0,0,0,0,0,0,0,0,0,0
BishopCreek4-3,0,0,0,0,0,0,0,0,0,0,0,0
BishopCreek4-4,0,0,0,0,0,0,0,0,0,0,0,0
BishopCreek4-5,0,0,0,0,0,0,0,0,0,0,0,0
BishopCreek5-1,0,0,0,0,0,0,0,0,0,0,0,0
BishopCreek5-2,0,0,0,0,0,0,0,0,0,0,0,0
BishopCreek6-1,0,0,0,0,0,0,0,0,0,0,0,0
BlackButte,0,0,0,0,0,0,0,0,0,0,0,0
BlackCanyon1,0,0,0,0,0,0,0,0,0,0,0,0
BlackCanyon2,0,0,0,0,0,0,0,0,0,0,0,0
BlackCanyon3MV,0,0,0,0,0,0,0,0,0,0,0,0
BlackCreek,0,0,0,0,0,0,0,0,0,0,0,0
BlackEagle1,0,0,0,0,0,0,0,0,0,0,0,0
BlackEagle2,0,0,0,0,0,0,0,0,0,0,0,0
BlackEagle3,0,0,0,0,0,0,0,0,0,0,0,0
BlindCanyon,0,0,0,0,0,0,0,0,0,0,0,0
Bliss1,0,0,0,0,0,0,0,0,0,0,0,0
Bliss2,0,0,0,0,0,0,0,0,0,0,0,0
Bliss3,0,0,0,0,0,0,0,0,0,0,0,0
BlueMesa1,0,0,0,0,0,0,0,0,0,0,0,0
BlueMesa2,0,0,0,0,0,0,0,0,0,0,0,0
BoiseRDiversion1A,0,0,0,0,0,0,0,0,0,0,0,0
BoiseRDiversion2A,0,0,0,0,0,0,0,0,0,0,0,0
BoiseRDiversion3A,0,0,0,0,0,0,0,0,0,0,0,0
Bonneville1,5.75,6.130000114,5.960000038,5.960000038,5.28000021,5.75,5.630000114,4.78000021,4.460000038,5,5.78000021,6.170000076
