name,Type,Category,Max Capacity,MinStable
150MileHouse,Other,ST-Other,6.5,2.925
ACE-Cogen,CHP-QF,ST-Coal,102.73,56.5015
AESO-P+G,Gas CT,CT-NatGas-Industrial,34.5,15.525
AESO_Reserve,Other,Dummy,600,0
ALPAC1,Biomass,Bio-ST,40.8,35
ALPAC2,Biomass,Bio-ST,40.8,35
ALPAC3,Biomass,Bio-ST,17.6,15
Aberdeen,Biomass,Bio-ST,18,8.1
AftonCC-Total,Gas CC,CCWhole-NatGas-Industrial,287.95,158.3725
AgnewsCC-Total,CHP-QF,CCWhole-NatGas-Aero,27.3,15.015
AguaFria1,Gas CT,ST-NatGas,113.636,15.11359
AguaFria2,Gas CT,ST-NatGas,113.636,15.11359
AguaFria3,Gas CT,ST-NatGas,163.2,18.9312
AguaFria4,Gas CT,CT-NatGas-Industrial,80.55,4.43025
AguaFria5,Gas CT,CT-NatGas-Industrial,71.2,3.916
AguaFria6,Gas CT,CT-NatGas-Industrial,71.2,3.916
Agua_Mansa,Gas CT,CT-NatGas-Aero,43,12.9
Aidlin_Geo1,Geothermal,LCGS_CA_geothermal,12.5,6.25
Aidlin_Geo2,Geothermal,LCGS_CA_geothermal,12.5,6.25
AirLiquide,Gas CT,CT-NatGas-Industrial,80,48
AirportIndustrial1,Other,CT-OilDistillate,2.5,0.75
AirportIndustrial2,Other,CT-OilDistillate,2.5,0.75
AirportIndustrial3,Other,CT-OilDistillate,2.5,0.75
AirportIndustrial4,Other,CT-OilDistillate,2.5,0.75
Alameda1,Gas CT,CT-NatGas-Aero,23.8,10.71
Alameda2,Gas CT,CT-NatGas-Aero,24,10.8
Alamitos1,Gas CT,ST-NatGas,175,14
Alamitos2,Gas CT,ST-NatGas,176,14.08
Alamitos3,Gas CT,ST-NatGas,322,25.76
Alamitos4,Gas CT,ST-NatGas,320,25.6
Alamitos5,Gas CT,ST-NatGas,482,38.56
Alamitos6,Gas CT,ST-NatGas,481,38.48
Alamosa1,Gas CT,CT-NatGas-Industrial,26.6,7.98
Alamosa2,Gas CT,CT-NatGas-Industrial,26.6,7.98
AldenBailey,Gas CT,CT-NatGas-Aero,10.9,5.995
AlgonquinCC-Total,CHP-QF,CCWhole-NatGas-Aero,29.73,16.3515
Almond1,Gas CT,CT-NatGas-Aero,50,27.5
Altamont1,Biomass,LCGS_CA_biomass,3,0.9
Altamont_Bio2,Biomass,LCGS_CA_biomass,3,0.9
Altamont_Bio3,Biomass,LCGS_CA_biomass,1.3,0.26
Altamont_Bio4,Biomass,LCGS_CA_biomass,1.3,0.26
AmedeeWineagle1,Geothermal,LCGS_CA_geothermal,1.5,0.75
AmedeeWineagle2,Geothermal,LCGS_CA_geothermal,1.5,0.75
AmericanCanyon1,Biomass,LCGS_CA_biomass,1.25,0.25
AmericanCanyon2,Biomass,LCGS_CA_biomass,1.25,0.25
Amp_Chow_Bio,Biomass,LCGS_CA_biomass,12.5,12
Anaheim_GT,Gas CT,CT-NatGas-Aero,42.81,19.2645
Anderson,Biomass,LCGS_CA_biomass,5.7,1.71
ApacheCC-Total,Gas CC,CCWhole-NatGas-Industrial,93.1,51.205
ApacheGT2,Gas CT,CT-NatGas-Industrial,20.4,6.12
ApacheGT3,Gas CT,CT-NatGas-Industrial,78.7,23.61
ApacheGT4,Gas CT,CT-NatGas-Aero,60.5,33.275
ApacheST2,Coal,ST-Coal,204,81.6
ApacheST3,Coal,ST-Coal,204,81.6
ApexCC-Total,Gas CC,CCWhole-NatGas-Industrial,600.6,300.3
ArapahoeCC-Total,Gas CC,CCWhole-NatGas-Aero,194,106.7
Argus_Cogen8,Coal,ST-Coal,27.5,27.225
Argus_Cogen9,Coal,ST-Coal,27.5,27.225
ArlngtnVallyCC-Total,Gas CC,CCWhole-NatGas-Industrial,713,372.5425
Armstrong_Cogen,Biomass,Bio-ST,20.4,9.18
Arvada1,Gas CT,CT-NatGas-Aero,7.2,2.88
Arvada2,Gas CT,CT-NatGas-Aero,7.2,2.88
Arvada3,Gas CT,CT-NatGas-Aero,7.2,2.88
Badger_Creek,CHP-QF,CT-NatGas-Industrial,46.63,25.6465
BalzacCC-Total,Gas CC,CCWhole-NatGas-Aero,120,66
BangorSubmarineBase2,Other,CT-OilDistillate,10,3
BarberCreek1,Gas CT,CT-NatGas-Aero,7.2,2.88
BarberCreek2,Gas CT,CT-NatGas-Aero,7.2,2.88
BarberCreek3,Gas CT,CT-NatGas-Aero,7.2,2.88
BarrePeaker,Gas CT,CT-NatGas-Aero,45.38,27.228
BasinCreek1,ICE Gas,ICE-NatGas,5.75,0.8483607
BasinCreek2,ICE Gas,ICE-NatGas,5.75,0.8483607
BasinCreek3,ICE Gas,ICE-NatGas,5.75,0.8483607
BasinCreek4,ICE Gas,ICE-NatGas,5.75,0.8483607
BasinCreek5,ICE Gas,ICE-NatGas,5.75,0.8483607
BasinCreek6,ICE Gas,ICE-NatGas,5.75,0.8483607
BasinCreek7,ICE Gas,ICE-NatGas,5.75,0.8483607
BasinCreek8,ICE Gas,ICE-NatGas,5.75,0.8483607
BasinCreek9,ICE Gas,ICE-NatGas,5.75,0.8483607
Battle_River_3,Coal,ST-Coal,148,59.2
Battle_River_4,Coal,ST-Coal,148,59.2
Battle_River_5,Coal,ST-Coal,407,162.8
Bay_Envirnmntal,Biomass,LCGS_CA_biomass,3,0.6
