refID,name,annualMWh,namePlate,TEPPCtype,plantCode,coolingTechnology,coolingType,latAdj,lonAdj,region,ifDerating,huc4,huc4.name,huc2
29,Alamitos1,0,175,Steam Turbine-Gas,315,Once-Through,Ocean,33.8125,241.8125,18,0,1807,Southern California Coastal,CA
30,Alamitos2,0,176,Steam Turbine-Gas,315,Once-Through,Ocean,33.8125,241.8125,18,0,1807,Southern California Coastal,CA
31,Alamitos3,0,322,Steam Turbine-Gas,315,Once-Through,Ocean,33.8125,241.8125,18,0,1807,Southern California Coastal,CA
32,Alamitos4,0,320,Steam Turbine-Gas,315,Once-Through,Ocean,33.8125,241.8125,18,0,1807,Southern California Coastal,CA
33,Alamitos5,0,482,Steam Turbine-Gas,315,Once-Through,Ocean,33.8125,241.8125,18,0,1807,Southern California Coastal,CA
34,Alamitos6,0,481,Steam Turbine-Gas,315,Once-Through,Ocean,33.8125,241.8125,18,0,1807,Southern California Coastal,CA
36,HuntingtonBeach1,0,226,Steam Turbine-Gas,335,Once-Through,Ocean,33.6875,241.9375,18,0,1807,Southern California Coastal,CA
37,HuntingtonBeach2,0,226,Steam Turbine-Gas,335,Once-Through,Ocean,33.6875,241.9375,18,0,1807,Southern California Coastal,CA
45,ACE-Cogen,708981,96,Steam Turbine-Coal,10002,Recirculating,Groundwater,35.6875,242.5625,18,0,1809,Northern Mojave-Mono Lake,CA
62,AguaFria1,8769,113.64,Steam Turbine-Gas,141,Recirculating,Groundwater,33.4375,247.6875,COLO,0,1507,Lower Gila,COLO
63,AguaFria2,7216,113.64,Steam Turbine-Gas,141,Recirculating,Groundwater,33.4375,247.6875,COLO,0,1507,Lower Gila,COLO
64,AguaFria3,27447,163.2,Steam Turbine-Gas,141,Recirculating,Groundwater,33.4375,247.6875,COLO,0,1507,Lower Gila,COLO
118,ApacheST2,1386789,204,Steam Turbine-Coal,160,Recirculating,Groundwater,32.0625,250.1875,COLO,0,1505,Middle Gila,COLO
119,ApacheST3,1397677,204,Steam Turbine-Coal,160,Recirculating,Groundwater,32.0625,250.1875,COLO,0,1505,Middle Gila,COLO
190,BenFrenchST1,0,25,Steam Turbine-Coal,3325,Recirculating,Groundwater,44.0625,256.8125,10,0,1012,Cheyenne,10
272,BiomassOneGE1,78829,14.4,Steam Turbine-Biomass,10869,Recirculating,Municipal,42.4375,237.0625,PNW,0,1710,Oregon-Washington Coastal,PNW
273,BiomassOneGE2,69888,15,Steam Turbine-Biomass,10869,Recirculating,Municipal,42.4375,237.0625,PNW,0,1710,Oregon-Washington Coastal,PNW
296,BigValley,2570,8.6,Steam Turbine-Biomass,10288,NA,NA,41.0625,238.8125,18,0,1802,Sacramento,CA
325,BlueLake,53530,13.8,Steam Turbine-Biomass,10764,NA,NA,41.0625,236.0625,18,0,1801,Klamath-Northern California Coastal,CA
336,Boardman,0,642.2,Steam Turbine-Coal,6106,Cooling Pond,Surface Water,45.8125,240.3125,PNW,1,1707,Middle Columbia,PNW
342,Bonanza,2522226,460,Steam Turbine-Coal,7790,Recirculating,Surface Water,40.1875,250.8125,COLO,1,1405,White-Yampa,COLO
420,WilmingtonCalciner,174780,35.8,Steam Turbine-Waste Heat,10601,Recirculating,Municipal,34.1875,241.6875,18,0,1807,Southern California Coastal,CA
422,BradleyLandfill,0,6,Steam Turbine-Biomass,NaN,NA,NA,34.3125,242.0625,18,0,1807,Southern California Coastal,CA
460,Broadway3,0,65,Steam Turbine-Gas,420,Recirculating,Municipal,34.0625,241.8125,18,0,1807,Southern California Coastal,CA
630,Castrvlle_QF,854,13.04,Steam Turbine-Coal,NaN,NA,NA,37.9375,239.4375,18,0,1804,San Joaquin,CA
665,Centralia1,0,729.9,Steam Turbine-Coal,3845,Recirculating,Surface Water,46.6875,237.0625,PNW,1,1710,Oregon-Washington Coastal,PNW
666,Centralia2,4079949,729.9,Steam Turbine-Coal,3845,Recirculating,Surface Water,46.6875,237.0625,PNW,1,1710,Oregon-Washington Coastal,PNW
684,Cherokee3,0,170.5,Steam Turbine-Coal,469,Recirculating,Surface Water,39.8125,255.0625,10,1,1019,South Platte,10
685,Cherokee4,0,380.8,Steam Turbine-Coal,469,Recirculating,Surface Water,39.8125,255.0625,10,1,1019,South Platte,10
730,Chino_Area_Agg,96398,21.8,Steam Turbine-Biomass,NaN,NA,NA,34.8125,241.9375,18,0,1809,Northern Mojave-Mono Lake,CA
738,Cholla_1,696926,113.6,Steam Turbine-Coal,113,Recirculating,Surface Water,34.9375,249.6875,COLO,1,1502,Little Colorado,COLO
739,Cholla_2,0,288.9,Steam Turbine-Coal,113,Recirculating,Surface Water,34.9375,249.6875,COLO,1,1502,Little Colorado,COLO
740,Cholla_3,2023100,312.3,Steam Turbine-Coal,113,Recirculating,Surface Water,34.9375,249.6875,COLO,1,1502,Little Colorado,COLO
741,Cholla_4,2959138,414,Steam Turbine-Coal,113,Recirculating,Surface Water,34.9375,249.6875,COLO,1,1502,Little Colorado,COLO
742,Amp_Chow_Bio,56404,12.5,Steam Turbine-Biomass,56706,None,Municipal,37.1875,239.6875,18,0,1804,San Joaquin,CA
771,SE_Resource,224383,38.91,Steam Turbine-Biomass,50837,Recirculating,Municipal,33.8125,241.8125,18,0,1807,Southern California Coastal,CA
782,ClearwaterPaper3,210528,28.8,Steam Turbine-Biomass,50637,Recirculating,Surface Water,46.4375,242.9375,PNW,1,1706,Lower Snake,PNW
783,ClearwaterPaper4,216653,65,Steam Turbine-Biomass,50637,Recirculating,Surface Water,46.4375,242.9375,PNW,1,1706,Lower Snake,PNW
814,PrairieWoodProducts,10785,7.5,Steam Turbine-Biomass,50921,#not designated,Surface Water,44.4375,241.1875,PNW,1,1707,Middle Columbia,PNW
825,Collins_Pine,45679,13.8,Steam Turbine-Biomass,10661,#not designated,Surface Water,40.3125,238.8125,18,1,1802,Sacramento,CA
826,Desert_View,332422,55.5,Steam Turbine-Biomass,10300,Recirculating,Groundwater,33.4375,244.0625,18,0,1810,Southern Mojave-Salton Sea,CA
833,Colstrip_1,2355330,330,Steam Turbine-Coal,6076,Recirculating,Surface Water,45.8125,253.4375,10,1,1010,Lower Yellowstone,10
834,Colstrip_2,2296826,330,Steam Turbine-Coal,6076,Recirculating,Surface Water,45.8125,253.4375,10,1,1010,Lower Yellowstone,10
835,Colstrip_3,5679789,823,Steam Turbine-Coal,6076,Recirculating,Surface Water,45.8125,253.4375,10,1,1010,Lower Yellowstone,10
836,Colstrip_4,5949828,823,Steam Turbine-Coal,6076,Recirculating,Surface Water,45.8125,253.4375,10,1,1010,Lower Yellowstone,10
837,Colstrip_Energy,268365,43.7,Steam Turbine-Coal,10784,Recirculating,Groundwater,45.8125,253.4375,10,0,1010,Lower Yellowstone,10
839,Columbia2,8415782,1170,Steam Turbine-Nuclear,371,Recirculating,Surface Water,46.5625,240.6875,PNW,1,1702,Upper Columbia,PNW
852,Comanche_1,2544160,382.5,Steam Turbine-Coal,470,Recirculating,Surface Water,38.3125,255.4375,11,1,1102,Upper Arkansas,11
